fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:01:53 AM
VariableInfo
Name:,lightgraph1.raw.Block1
Size:,3315 x 48
Type:,Numeric
Content:,Light
Date:,2/26/2025 10:01:09 AM
Notes:,Light intensity data saved by Lightgraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_01_01141630.nir
Labels:,DATA
VariableData
Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light
Optode1-730nm,Optode1-Ambient,Optode1-850nm,Optode2-730nm,Optode2-Ambient,Optode2-850nm,Optode3-730nm,Optode3-Ambient,Optode3-850nm,Optode4-730nm,Optode4-Ambient,Optode4-850nm,Optode5-730nm,Optode5-Ambient,Optode5-850nm,Optode6-730nm,Optode6-Ambient,Optode6-850nm,Optode7-730nm,Optode7-Ambient,Optode7-850nm,Optode8-730nm,Optode8-Ambient,Optode8-850nm,Optode9-730nm,Optode9-Ambient,Optode9-850nm,Optode10-730nm,Optode10-Ambient,Optode10-850nm,Optode11-730nm,Optode11-Ambient,Optode11-850nm,Optode12-730nm,Optode12-Ambient,Optode12-850nm,Optode13-730nm,Optode13-Ambient,Optode13-850nm,Optode14-730nm,Optode14-Ambient,Optode14-850nm,Optode15-730nm,Optode15-Ambient,Optode15-850nm,Optode16-730nm,Optode16-Ambient,Optode16-850nm
2357,-1,2375,2418,-1,2488,2360,-1,2302,2419,-1,2450,2292,-1,2194,2319,-1,2254,2266,-1,2172,2287,-1,2222,2208,-1,2341,2258,-1,2463,2143,-1,2297,2288,-1,2482,2304,-1,2127,2431,-1,2286,2415,-1,2211,2399,-1,2240
2201,-1,2506,2263,-1,2625,2190,-1,2423,2243,-1,2576,2285,-1,2039,2314,-1,2100,2264,-1,2019,2288,-1,2070,2328,-1,2331,2380,-1,2451,2250,-1,2303,2416,-1,2472,2165,-1,2105,2274,-1,2309,2251,-1,2231,2240,-1,2257
2293,-1,2319,2350,-1,2424,2291,-1,2255,2342,-1,2391,2146,-1,2207,2172,-1,2275,2124,-1,2181,2143,-1,2236,2286,-1,2333,2334,-1,2444,2214,-1,2291,2371,-1,2467,2238,-1,2239,2377,-1,2413,2358,-1,2332,2341,-1,2367
2340,-1,2389,2396,-1,2507,2334,-1,2316,2393,-1,2466,2296,-1,2155,2323,-1,2214,2277,-1,2135,2300,-1,2185,2225,-1,2251,2278,-1,2360,2165,-1,2207,2309,-1,2379,2259,-1,2194,2344,-1,2367,2313,-1,2285,2305,-1,2318
2212,-1,2330,2272,-1,2458,2203,-1,2250,2257,-1,2411,2329,-1,2326,2367,-1,2391,2306,-1,2302,2325,-1,2355,2256,-1,2156,2314,-1,2256,2217,-1,2133,2334,-1,2264,2116,-1,2165,2246,-1,2378,2225,-1,2303,2211,-1,2327
2262,-1,2200,2318,-1,2318,2262,-1,2138,2314,-1,2274,2379,-1,2316,2416,-1,2379,2349,-1,2295,2368,-1,2347,2164,-1,2173,2221,-1,2346,2118,-1,2149,2250,-1,2391,2152,-1,2134,2274,-1,2361,2251,-1,2287,2238,-1,2310
2288,-1,2335,2350,-1,2467,2270,-1,2263,2325,-1,2416,2383,-1,2233,2422,-1,2289,2361,-1,2215,2382,-1,2263,2113,-1,2324,2166,-1,2435,2068,-1,2283,2196,-1,2455,2220,-1,2096,2342,-1,2301,2323,-1,2218,2307,-1,2249
2193,-1,2246,2254,-1,2369,2182,-1,2173,2237,-1,2317,2396,-1,2310,2433,-1,2372,2368,-1,2289,2382,-1,2339,2301,-1,2233,2360,-1,2336,2249,-1,2222,2388,-1,2345,2102,-1,2061,2216,-1,2253,2189,-1,2171,2178,-1,2202
2294,-1,2217,2351,-1,2327,2294,-1,2161,2348,-1,2293,2195,-1,2257,2263,-1,2318,2141,-1,2233,2157,-1,2284,2327,-1,2354,2389,-1,2465,2265,-1,2329,2421,-1,2488,2121,-1,1883,2190,-1,2169,2159,-1,2083,2156,-1,2109
