fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:04:33 AM
VariableInfo
Name:,oxygraph1.hbo.Block1
Size:,3315 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:03:19 AM
Notes:,Oxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_01_01141630.oxy
Labels:,DATA,HBO
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.743496,0.618279,-2.369069,0.874268,1.996733,1.63987,1.765341,0.410729,-1.651438,-1.624412,-1.532958,-1.88594,3.012399,2.991915,2.95305,3.1903
-2.708744,-2.780863,-5.874108,-2.609724,4.545462,4.119545,4.354933,2.951775,-0.312754,-0.270934,-0.534463,-0.522066,1.989581,1.138445,1.055697,1.383721
0.979082,0.910075,-2.297025,1.020247,0.310971,-0.158702,0.167641,-1.270774,-0.751308,-0.606057,-0.709232,-0.870999,0.528041,0.557197,0.514545,0.671952
0.371352,0.141726,-2.833874,0.399612,2.676504,2.318113,2.487616,1.137574,-0.079146,0.099174,0.1237,-0.16716,1.462571,0.931523,0.810138,1.07198
0.00424,-0.3438,-3.095324,-0.105628,0.268512,-0.008904,0.080866,-1.296692,1.771212,2.060434,1.873788,1.844063,0.472679,-0.191005,-0.339243,0.000673
2.55591,2.200179,-0.679196,2.542995,0.898346,0.629922,0.603609,-0.764536,0.557787,-0.25605,0.583277,-0.926851,1.365861,0.342882,0.170104,0.534555
0.684551,0.281941,-2.629856,0.485447,2.239694,2.063135,1.985222,0.669495,-2.376447,-2.148003,-2.112765,-2.414754,2.704728,1.922607,1.969899,2.170908
1.122586,0.795426,-2.066024,1.115561,1.150549,0.892291,0.877623,-0.510489,0.960191,1.256661,0.734612,1.100821,2.082521,1.436607,1.403775,1.636106
2.595682,2.378478,-0.746687,2.572578,0.016545,0.092004,-0.49545,-1.883609,-0.673126,-0.38983,-0.78662,-0.706212,5.510758,2.529491,2.572728,2.95013
1.183346,0.906953,-2.216482,0.96662,3.947807,3.738491,3.697538,2.317383,-1.737804,-1.531316,-1.429247,-1.845751,2.373599,1.716089,1.815267,1.960153
-1.016981,-1.204823,-4.199908,-0.875445,2.914081,2.782019,2.610229,1.300468,0.057847,0.176916,0.29874,-0.228125,3.77772,2.281849,3.010418,3.301962
2.802183,2.693919,-0.596658,2.790643,-0.658504,-0.748259,-0.980647,-2.221427,0.49035,0.676916,0.867034,0.265711,2.720461,2.398239,2.421909,2.592044
0.872365,0.69422,-2.586549,0.67765,2.388475,2.337188,2.063503,0.798569,-0.153138,-0.142203,0.306529,-0.538442,2.020247,1.822262,1.81856,1.989358
1.556159,1.400026,-1.74204,1.60113,0.793449,0.724683,0.488855,-0.678893,-0.426435,-0.430655,0.582675,-0.936458,0.112949,0.059969,-0.027338,0.120816
4.121473,2.470724,0.996186,3.295918,-2.102361,-2.243618,-2.374742,-3.61309,1.280664,1.115951,3.333423,0.565573,-0.741212,-1.412233,-1.577256,-1.26863
0.068081,-0.078879,-3.465799,-0.03528,0.833119,-0.300665,1.113854,-0.959339,-0.516293,-0.363081,0.252842,-0.973012,1.279605,0.50672,0.502449,0.744181
0.793934,0.535131,-2.528445,0.755993,-0.862953,-1.012348,-1.102514,-2.316992,0.614335,0.564902,1.529993,0.440496,0.323968,0.502335,0.672191,0.746153
2.930644,2.770676,-0.569456,2.756022,-2.241405,-2.549598,-2.449217,-3.723186,1.553817,1.545467,1.212277,1.136026,1.235651,0.609638,0.69324,0.832581
0.194606,-0.250118,-3.348703,-0.265546,-0.715931,-0.986416,-0.898738,-2.171801,2.785126,2.9064,2.629258,2.565143,0.008706,-0.32332,-0.237233,-0.090852
2.269998,1.933666,-1.022385,2.097149,-1.637935,-1.948066,-1.889987,-3.233102,3.880747,3.909047,3.811224,3.580444,-1.041767,-1.782981,-1.944292,-1.583681
3.793822,3.561152,0.334682,3.549171,-1.304065,-1.627515,-1.523309,-2.837463,2.951858,3.0284,2.895122,2.715648,-0.382421,-0.450146,-0.536944,-0.224273
1.682736,1.459092,-1.883261,1.345489,-1.094982,-1.372157,-1.291454,-2.634462,0.843965,0.824423,2.619768,0.44824,1.905025,1.7228,1.961883,2.20495
1.281594,1.039433,-2.114614,1.078965,-2.323344,-2.806806,-2.52384,-4.234827,3.520417,3.763053,3.297871,3.641409,-2.332293,-2.137953,-2.352605,-2.063039
2.027501,1.846234,-1.434306,1.740786,-0.592751,-0.979434,-0.831159,-2.405483,1.451492,1.865991,1.133141,1.699307,-0.287514,-0.385463,-0.592292,-0.243151
1.865908,1.909071,-1.654977,1.783932,0.241555,-0.101251,-0.011134,-1.386078,-0.636893,-0.333733,-0.771834,-0.54482,2.093218,2.454884,2.188683,2.562471
-2.298001,-2.254296,-5.781401,-2.39325,1.221407,0.836136,1.070077,-0.336309,1.186636,1.740456,1.41918,1.332418,-2.285868,-1.255549,-1.242543,-1.040049
0.80376,0.73907,-2.61238,0.656444,2.015358,1.801698,1.777463,0.604716,-0.99855,-0.727764,-1.050108,-1.01207,0.517148,0.547103,0.207256,0.651812
1.525569,1.639141,-2.031027,1.394459,-0.586834,-0.82822,-0.851222,-2.12263,-0.058778,0.21213,0.178339,0.026695,1.339567,1.99866,1.606178,1.989078
-0.745558,-0.704543,-4.202948,-0.854357,0.387092,0.024764,0.220786,-1.152789,1.250146,1.584847,1.251551,1.395174,-0.988512,-0.685347,-1.064046,-0.700975
1.018722,0.77283,-2.169868,0.91718,1.000244,0.759297,0.71872,-0.605766,0.300282,0.689398,0.310334,0.520234,-0.148414,-0.209529,-0.594184,-0.10287
0.922723,0.873585,-2.458154,0.818768,0.649296,0.281383,0.480203,-0.924582,-0.715254,-0.366271,-0.718579,-0.669512,3.151375,1.635729,1.29882,1.881427
-0.086177,-0.097364,-3.251532,-0.071335,1.285613,0.969774,1.133855,-0.225313,0.105914,0.454183,0.218741,0.283256,1.098701,1.203255,0.825937,1.291351
-0.533723,-0.820124,-3.515589,-0.542116,4.547593,4.358308,4.327113,3.001625,-2.265941,-1.911912,-2.239274,-2.160487,0.409275,-0.400942,-0.813362,-0.223975
2.964833,2.940667,-0.357376,2.891752,0.892725,0.757008,0.589675,-0.648223,-2.457262,-2.216982,-1.929969,-2.583019,3.442025,3.573809,3.195839,3.709284
0.335281,0.269232,-3.098385,0.170855,0.965515,0.577702,0.785708,-0.552187,0.294403,0.626659,0.303587,0.464208,0.657196,0.760335,0.374928,0.852739
-1.013089,-1.311732,-4.277327,-1.167009,3.472785,3.269979,3.211398,1.941659,-1.814043,-1.489994,-1.827226,-1.756368,1.537823,0.475847,0.140448,0.74248
2.262969,2.025145,-1.064545,2.046322,0.255164,0.127102,-0.051818,-1.273748,0.389549,0.706271,0.630127,0.53447,1.006735,0.602935,0.243603,0.777751
1.628131,1.546303,-1.877508,1.357043,0.526287,0.254504,0.332403,-0.999991,-0.825825,-0.532413,-0.641782,-0.838276,1.989021,1.289816,0.931735,1.535721
-0.335144,-0.45469,-3.675996,-0.455269,0.625656,0.426605,0.390417,-0.914222,-0.780742,-0.594455,-0.360933,-0.929053,1.362671,0.940364,0.535345,1.126242
2.712319,2.415029,-0.580362,2.472826,-0.029694,-0.128426,-0.363495,-1.640785,-0.554651,-0.317429,-0.058932,-0.583702,2.943462,2.800426,2.397401,2.96041
2.410081,2.430118,-1.129123,2.178179,0.401456,0.111903,0.196708,-1.207028,-1.976601,-1.749623,-1.616948,-2.105205,4.316512,3.707842,3.348098,3.982354
-1.588918,-1.466437,-4.95992,-1.618501,1.434846,0.32943,1.550624,-0.353549,-1.450806,-1.343581,-0.817106,-1.743907,3.172812,3.136639,2.90764,3.084985
2.094787,1.975525,0.230776,1.975928,-0.609367,-0.672397,-0.946261,-2.237966,-1.899651,-1.891765,-0.901184,-2.253162,4.241318,4.962573,4.638049,5.175849
0.663277,0.799271,-2.738642,0.588726,-0.184024,-0.342997,-0.446531,-1.753352,-0.06532,-1.353721,0.379026,-1.647447,4.416784,4.45231,4.077208,4.606657
-1.170765,-1.056078,-4.338594,-1.073788,2.235711,1.959576,2.009687,0.583388,-1.189617,-0.953648,-0.983898,-1.331989,5.097637,4.251961,3.865748,4.514833
