fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:04:33 AM
VariableInfo
Name:,oxygraph1.hbr.Block1
Size:,3315 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:03:19 AM
Notes:,Deoxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_01_01141630.oxy
Labels:,DATA,HBR
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.022808,0.042135,0.979749,-0.320249,0.365205,0.2803,0.478101,0.836121,2.456394,2.330437,2.409128,2.451354,-0.517296,-0.658311,-0.604328,-1.064644
3.049542,2.991335,4.190777,2.903891,-0.455998,-0.540203,-0.414917,-0.074523,0.587586,0.464339,0.771383,0.533752,1.485016,1.757493,1.920916,1.382383
0.665153,0.690868,1.736497,0.480875,2.696805,2.643077,2.749435,3.14552,1.222705,1.09742,1.258422,1.152858,1.127948,0.795364,0.888173,0.471617
0.345312,0.451706,1.436253,0.132579,0.078709,-0.00512,0.094872,0.429511,1.697868,1.488097,1.553689,1.60233,0.551065,1.03146,1.291531,0.738614
1.958164,2.024376,3.051514,1.853817,0.554552,0.323618,0.612847,1.005852,0.678387,0.380782,0.308755,0.606792,2.625251,2.554514,2.720761,2.215279
0.466039,0.595816,1.499871,0.259139,-0.228265,-0.442576,-0.059162,0.334457,2.205317,2.281806,1.969666,2.553495,1.864482,2.038993,2.234272,1.706399
0.826916,0.913126,2.09702,0.86216,-0.747172,-1.015088,-0.682357,-0.328355,3.872281,3.612284,3.55342,3.720372,0.570635,0.703279,0.767437,0.326908
1.789864,1.830958,2.939807,1.656355,-0.505212,-0.720255,-0.368489,0.089168,0.444699,0.146281,0.334054,0.266814,2.230624,2.333092,2.534031,2.033026
0.081644,0.160076,1.153431,-0.135849,2.205828,1.472401,2.773908,3.190706,0.726425,0.406909,0.685443,0.544409,0.780368,2.257516,2.484195,1.835709
0.352546,0.401912,1.650527,0.387529,-0.86027,-1.17995,-0.780941,-0.442476,2.498896,2.239186,2.397046,2.322166,0.322232,0.855263,0.947278,0.481591
3.70182,3.771759,4.704634,3.382054,-0.8082,-1.149457,-0.679247,-0.373946,0.913342,0.662721,0.60576,0.925385,0.96212,1.527379,1.452717,0.940067
0.089141,0.149572,1.157866,-0.156812,1.327742,1.000562,1.531298,1.871424,1.295708,0.961619,0.760281,1.312514,0.767715,0.954783,1.111608,0.627352
0.991909,1.003879,2.291566,0.987612,-0.387295,-0.805522,-0.248247,0.016196,2.812535,2.575977,2.393203,2.829357,0.588172,0.783847,0.923318,0.436894
1.672536,1.675571,2.81309,1.460984,-0.013253,-0.410556,0.116459,0.293023,3.307348,3.089954,2.561455,3.438484,0.761568,0.575042,0.702515,0.297614
-0.134493,0.454636,0.825604,-0.109606,2.361819,2.055331,2.531216,2.854423,2.816371,2.616069,1.309574,3.199378,2.622297,2.590555,2.759032,2.285604
0.827036,0.839647,2.150054,0.79814,1.405459,1.425613,1.320621,1.868308,1.828862,1.559244,1.109206,2.013358,0.850239,1.047157,1.196047,0.717717
2.330278,2.442755,3.35837,2.079854,1.48079,1.161979,1.574419,1.824356,2.939084,2.725481,1.872233,2.662101,0.640733,0.222597,0.180904,-0.188821
-0.639006,-0.566389,0.533559,-0.745237,3.501842,3.307637,3.563913,3.853843,0.545811,0.302267,1.144168,0.699669,0.422137,0.977194,1.049492,0.61826
1.057949,1.202543,2.351376,1.184643,1.988934,1.749353,2.020848,2.273796,-0.086216,-0.670997,0.089047,-0.273388,1.679416,1.520495,1.537059,1.127205
1.037545,1.148996,2.162924,0.922985,1.963678,1.755267,2.08749,2.461862,-1.743095,-1.961149,-2.280246,-1.489923,3.436638,3.531853,3.706665,3.184416
