fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:04:33 AM
VariableInfo
Name:,oxygraph1.hbt.Block1
Size:,3315 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:03:19 AM
Notes:,Total-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_01_01141630.oxy
Labels:,DATA,HBT
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.766304,0.660414,-1.38932,0.554019,2.361938,1.92017,2.243442,1.24685,0.804956,0.706025,0.87617,0.565414,2.495103,2.333604,2.348722,2.125656
0.340798,0.210472,-1.683331,0.294167,4.089464,3.579342,3.940016,2.877252,0.274832,0.193405,0.23692,0.011686,3.474597,2.895938,2.976613,2.766104
1.644235,1.600943,-0.560528,1.501122,3.007776,2.484375,2.917076,1.874746,0.471397,0.491363,0.54919,0.281859,1.655989,1.352561,1.402718,1.143569
0.716664,0.593432,-1.397621,0.532191,2.755213,2.312993,2.582488,1.567085,1.618722,1.587271,1.677389,1.43517,2.013636,1.962983,2.101669,1.810594
1.962404,1.680576,-0.0438100000000001,1.748189,0.823064,0.314714,0.693713,-0.29084,2.449599,2.441216,2.182543,2.450855,3.09793,2.363509,2.381518,2.215952
3.021949,2.795995,0.820675,2.802134,0.670081,0.187346,0.544447,-0.430079,2.763104,2.025756,2.552943,1.626644,3.230343,2.381875,2.404376,2.240954
1.511467,1.195067,-0.532836,1.347607,1.492522,1.048047,1.302865,0.34114,1.495834,1.464281,1.440655,1.305618,3.275363,2.625886,2.737336,2.497816
2.91245,2.626384,0.873783,2.771916,0.645337,0.172036,0.509134,-0.421321,1.40489,1.402942,1.068666,1.367635,4.313145,3.769699,3.937806,3.669132
2.677326,2.538554,0.406744,2.436729,2.222373,1.564405,2.278458,1.307097,0.053299,0.017079,-0.101177,-0.161803,6.291126,4.787007,5.056923,4.785839
1.535892,1.308865,-0.565955,1.354149,3.087537,2.558541,2.916597,1.874907,0.761092,0.70787,0.967799,0.476415,2.695831,2.571352,2.762545,2.441744
2.684839,2.566936,0.504726000000001,2.506609,2.105881,1.632562,1.930982,0.926522,0.971189,0.839637,0.9045,0.69726,4.73984,3.809228,4.463135,4.242029
2.891324,2.843491,0.561208,2.633831,0.669238,0.252303,0.550651,-0.350003,1.786058,1.638535,1.627315,1.578225,3.488176,3.353022,3.533517,3.219396
1.864274,1.698099,-0.294983,1.665262,2.00118,1.531666,1.815256,0.814765,2.659397,2.433774,2.699732,2.290915,2.608419,2.606109,2.741878,2.426252
3.228695,3.075597,1.07105,3.062114,0.780196,0.314127,0.605314,-0.38587,2.880913,2.659299,3.14413,2.502026,0.874517,0.635011,0.675177,0.41843
3.98698,2.92536,1.82179,3.186312,0.259458,-0.188287,0.156474,-0.758667,4.097035,3.73202,4.642997,3.764951,1.881085,1.178322,1.181776,1.016974
0.895117,0.760768,-1.315745,0.76286,2.238578,1.124948,2.434475,0.908969,1.312569,1.196163,1.362048,1.040346,2.129844,1.553877,1.698496,1.461898
3.124212,2.977886,0.829925,2.835847,0.617837,0.149631,0.471905,-0.492636,3.553419,3.290383,3.402226,3.102597,0.964701,0.724932,0.853095,0.557332
2.291638,2.204287,-0.035897,2.010785,1.260437,0.758039,1.114696,0.130657,2.099628,1.847734,2.356445,1.835695,1.657788,1.586832,1.742732,1.450841
1.252555,0.952425,-0.997327,0.919097,1.273003,0.762937,1.12211,0.101995,2.69891,2.235403,2.718305,2.291755,1.688122,1.197175,1.299826,1.036353
3.307543,3.082662,1.140539,3.020134,0.325743,-0.192799,0.197503,-0.77124,2.137652,1.947898,1.530978,2.090521,2.394871,1.748872,1.762373,1.600735
3.097663,2.990643,0.717635,2.733079,1.369046,0.840567,1.235334,0.20637,2.293864,2.170693,1.759214,2.267953,2.896559,2.043917,2.159157,1.939772
1.744901,1.588085,-0.49948,1.487115,1.781833,1.266932,1.641269,0.651376,1.410108,1.291735,2.123189,1.268061,2.241249,2.061405,2.326755,2.089128
3.488228,3.375415,1.268666,3.283976,1.109764,0.483578,1.029426,-0.101947,2.269199,2.32798,1.882865,2.398203,0.307177,0.00210700000000008,-0.101055,-0.237999
2.115552,2.015837,-0.0375690000000002,1.989229,2.04574,1.520695,1.914194,0.872291,0.788194,0.971935,0.518181,0.907053,1.640442,1.247301,1.115812,1.029517
0.993007,1.019084,-1.216739,0.90314,2.987501,2.509364,2.838819,1.935905,0.213007,0.364123,0.271671,0.194122,2.374499,2.434991,2.20646,2.140888
-0.0444450000000001,-0.0367860000000002,-2.112396,0.049023,3.449065,2.909634,3.314679,2.368082,0.243744,0.344385,-0.0257299999999998,0.287922,0.882988,1.095216,1.004241,0.895734
1.773491,1.761058,-0.299965,1.834947,2.756286,2.321968,2.56727,1.638656,0.208056,0.401429,0.364674,0.101907,2.304899,2.042768,1.746324,1.780372
1.372503,1.440255,-0.72025,1.496445,1.712666,1.333408,1.536439,0.74036,1.162172,1.349643,1.325903,1.20886,2.09804,2.041113,1.642673,1.670085
0.958684,0.94183,-1.068817,1.078167,2.739493,2.313231,2.58168,1.718288,0.913656,1.139006,0.984058,0.979151,1.513763,1.235021,0.822348,0.871649
2.133774,2.021958,0.162224,2.211272,1.626191,1.283059,1.427921,0.647726,1.417471,1.703822,1.483286,1.550307,2.202922,1.794088,1.400203,1.501303
0.848582,0.847197,-1.177424,0.979885,3.287881,2.902589,3.119042,2.258847,-0.456609,-0.165577,-0.173343,-0.484248,3.766616,2.906104,2.566019,2.632675
1.082673,0.938759,-0.957755,1.124249,2.168314,1.830437,1.963682,1.113969,1.726455,1.990824,1.971173,1.783358,1.825238,1.659347,1.237554,1.297217
2.229709,2.018805,0.216479,2.224472,2.829377,2.541986,2.582666,1.748657,0.348259,0.637261,0.741567,0.273045,2.649009,2.333703,1.945153,2.011245
2.179288,2.150152,0.044945,2.230794,1.000994,0.742878,0.772177,0.048926,1.23237,1.431884,1.75068,1.172893,2.784155,2.785619,2.353222,2.417085
0.96513,0.9301,-1.02074,1.099015,2.489554,2.112261,2.282041,1.456027,1.495342,1.755096,1.696394,1.615779,2.059416,1.717753,1.278985,1.350628
2.214372,2.108565,0.229706,2.293723,2.489178,2.189515,2.218281,1.430121,0.320574,0.583567,0.686026,0.26028,3.674298,3.065751,2.715182,2.790836
1.916433,1.83244,-0.0616350000000001,2.007016,0.488216,0.224999,0.255951,-0.445545,2.448111,2.659443,2.783116,2.500689,2.083358,1.537839,1.116084,1.211932
0.599014,0.592644,-1.393656,0.746365,2.063884,1.751076,1.858186,1.059825,0.331154,0.572855,0.807974,0.24747,2.860442,2.579679,2.203045,2.259345
0.933355,0.84277,-0.987233,1.105101,1.087815,0.774924,0.85946,0.0813160000000001,1.177228,1.371544,1.744434,1.034358,2.277878,2.171914,1.753702,1.799949
2.672374,2.573387,0.768253,2.802402,0.371316,0.115257,0.133638,-0.569811,2.548543,2.744675,3.011085,2.512793,1.884589,1.651928,1.204631,1.283052
0.758547,0.846752,-1.217252,0.974931,2.411107,2.082992,2.213572,1.392215,0.76253,0.977712,1.343686,0.597128,3.189446,3.090635,2.713372,2.769645
0.542589,0.517906,-1.415639,0.75895,1.712883,0.790741,1.723559,0.569216,1.295229,1.453922,1.948491,1.08698,2.291624,2.146671,1.619229,1.88237
2.434232,2.356789,1.292379,2.515584,-0.115092,-0.357898,-0.355822,-1.057317,2.435221,2.483301,3.184138,2.189736,1.626474,2.049009,1.664613,1.696302
0.826552,0.886613,-1.21155,0.998123,1.499014,1.236769,1.248212,0.490226,2.251066,1.459301,2.759181,1.20793,2.669145,2.676878,2.268875,2.304016
0.509234,0.431644,-1.49723,0.67097,2.139508,1.787907,1.940043,1.117457,-0.416032,-0.192299,0.075708,-0.533469,4.060798,3.873397,3.512298,3.559213
1.874494,1.743552,-0.150365,1.945813,0.766739,0.411659,0.586659,-0.411857,1.002589,1.11864,1.632843,0.837739,2.029792,2.079338,1.648241,1.672897
0.586139,0.542713,-1.478811,0.698422,2.757547,2.436212,2.54767,1.691315,-0.089707,0.101392,0.363919,-0.222532,3.407082,3.4533,3.031859,3.062265
0.323891,0.179968,-1.726611,0.424533,1.708503,1.494775,1.422273,0.664305,1.758447,1.909216,2.765851,1.622717,0.860526,0.605297,0.142043,0.182175
2.476981,2.08608,1.124228,2.210887,1.411364,1.131446,1.201049,0.448857,1.708834,1.798803,1.987452,1.654269,2.566568,2.133634,1.769802,1.797004
0.811875,0.709824,-1.372367,0.773987,3.027005,2.634808,2.845788,1.918852,0.958657,1.134954,0.938626,0.988825,3.435239,2.823773,2.611019,2.564602
0.779574,0.582448,-1.338433,0.741885,2.268865,1.764263,2.16676,1.26089,0.597221,0.626207,0.672362,0.461437,3.310698,2.102503,2.000839,1.846303
2.704783,2.52356,0.441584,2.539716,1.566873,1.192719,1.351664,0.431444,2.017316,2.015806,2.286804,1.828152,1.104039,0.772076,0.606047,0.430218
0.452342,0.245851,-1.773887,0.301042,1.977057,1.540261,1.802524,0.845783,1.894054,1.966683,1.862039,1.871594,2.408557,1.667198,1.515159,1.40024
0.320242,0.153988,-1.853839,0.26729,2.744504,2.339176,2.561246,1.619266,1.508678,1.546146,1.689892,1.376019,1.580125,1.25807,1.181218,0.977917
1.913736,1.848456,-0.401472,1.796574,2.52778,2.105074,2.368509,1.487595,1.385928,1.501194,1.277139,1.451367,3.77052,2.552548,2.502027,2.378324
0.312048,0.173135,-1.8574,0.249059,3.549985,3.093007,3.410862,2.413058,0.099693,0.04259,-0.0240820000000002,-0.061424,2.94758,2.813994,2.800667,2.577646
1.381285,1.169466,-0.680288,1.340975,1.620667,1.2216,1.438018,0.473046,1.241999,1.388971,1.543634,1.182493,3.0742,2.904487,2.861653,2.674605
2.146107,2.039468,-0.1249,2.006503,1.281047,0.91403,1.089001,0.210087,1.956964,1.979963,2.547817,1.885277,1.578676,1.215021,1.101777,0.934609
1.200406,1.048528,-0.974632,1.105704,0.832373,0.453693,0.686655,-0.123924,1.04587,1.06569,0.899475,0.975117,2.955671,2.296573,2.150649,2.053311
