fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:04:33 AM
VariableInfo
Name:,oxygraph1.oxy.Block1
Size:,3315 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:03:19 AM
Notes:,Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_01_01141630.oxy
Labels:,DATA,OXY
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.720688,0.576144,-3.348818,1.194517,1.631528,1.35957,1.28724,-0.425392,-4.107832,-3.954849,-3.942086,-4.337294,3.529695,3.650226,3.557378,4.254944
-5.758286,-5.772198,-10.064885,-5.513615,5.00146,4.659748,4.76985,3.026298,-0.90034,-0.735273,-1.305846,-1.055818,0.504565,-0.619048,-0.865219,0.00133800000000006
0.313929,0.219207,-4.033522,0.539372,-2.385834,-2.801779,-2.581794,-4.416294,-1.974013,-1.703477,-1.967654,-2.023857,-0.599907,-0.238167,-0.373628,0.200335
0.02604,-0.30998,-4.270127,0.267033,2.597795,2.323233,2.392744,0.708063,-1.777014,-1.388923,-1.429989,-1.76949,0.911506,-0.0999370000000001,-0.481393,0.333366
-1.953924,-2.368176,-6.146838,-1.959445,-0.28604,-0.332522,-0.531981,-2.302544,1.092825,1.679652,1.565033,1.237271,-2.152572,-2.745519,-3.060004,-2.214606
2.089871,1.604363,-2.179067,2.283856,1.126611,1.072498,0.662771,-1.098993,-1.64753,-2.537856,-1.386389,-3.480346,-0.498621,-1.696111,-2.064168,-1.171844
-0.142365,-0.631185,-4.726876,-0.376713,2.986866,3.078223,2.667579,0.99785,-6.248728,-5.760287,-5.666185,-6.135126,2.134093,1.219328,1.202462,1.844
-0.667278,-1.035532,-5.005831,-0.540794,1.655761,1.612546,1.246112,-0.599657,0.515492,1.11038,0.400558,0.834007,-0.148103,-0.896485,-1.130256,-0.39692
2.514038,2.218402,-1.900118,2.708427,-2.189283,-1.380397,-3.269358,-5.074315,-1.399551,-0.796739,-1.472063,-1.250621,4.73039,0.271975,0.088533,1.114421
0.8308,0.505041,-3.867009,0.579091,4.808077,4.918441,4.478479,2.759859,-4.2367,-3.770502,-3.826293,-4.167917,2.051367,0.860826,0.867989,1.478562
-4.718801,-4.976582,-8.904542,-4.257499,3.722281,3.931476,3.289476,1.674414,-0.855495,-0.485805,-0.30702,-1.15351,2.8156,0.75447,1.557701,2.361895
2.713042,2.544347,-1.754524,2.947455,-1.986246,-1.748821,-2.511945,-4.092851,-0.805358,-0.284703,0.106753,-1.046803,1.952746,1.443456,1.310301,1.964692
-0.119544,-0.309659,-4.878115,-0.309962,2.77577,3.14271,2.31175,0.782373,-2.965673,-2.71818,-2.086674,-3.367799,1.432075,1.038415,0.895242,1.552464
-0.116377,-0.275545,-4.55513,0.140146,0.806702,1.135239,0.372396,-0.971916,-3.733783,-3.520609,-1.97878,-4.374942,-0.648619,-0.515073,-0.729853,-0.176798
4.255966,2.016088,0.170582,3.405524,-4.46418,-4.298949,-4.905958,-6.467513,-1.535707,-1.500118,2.023849,-2.633805,-3.363509,-4.002788,-4.336288,-3.554234
-0.758955,-0.918526,-5.615853,-0.83342,-0.57234,-1.726278,-0.206767,-2.827647,-2.345155,-1.922325,-0.856364,-2.98637,0.429366,-0.540437,-0.693598,0.0264639999999999
-1.536344,-1.907624,-5.886815,-1.323861,-2.343743,-2.174327,-2.676933,-4.141348,-2.324749,-2.160579,-0.34224,-2.221605,-0.316765,0.279738,0.491287,0.934974
3.56965,3.337065,-1.103015,3.501259,-5.743247,-5.857235,-6.01313,-7.577029,1.008006,1.2432,0.068109,0.436357,0.813514,-0.367556,-0.356252,0.214321
-0.863343,-1.452661,-5.700079,-1.450189,-2.704865,-2.735769,-2.919586,-4.445597,2.871342,3.577397,2.540211,2.838531,-1.67071,-1.843815,-1.774292,-1.218057
1.232453,0.78467,-3.185309,1.174164,-3.601613,-3.703333,-3.977477,-5.694964,5.623842,5.870196,6.09147,5.070367,-4.478405,-5.314834,-5.650957,-4.768097
4.489981,4.131661,-0.048271,4.365263,-3.977176,-4.095597,-4.281952,-5.881296,3.609852,3.886107,4.03103,3.163343,-3.661401,-2.944209,-3.233045,-2.388318
1.620571,1.330099,-3.267042,1.203863,-3.971797,-4.011246,-4.224177,-5.9203,0.277822,0.357111,3.116347,-0.371581,1.568801,1.384195,1.597011,2.320772
-0.92504,-1.296549,-5.497894,-1.126046,-5.756452,-6.09719,-6.077106,-8.367707,4.771635,5.198126,4.712877,4.884615,-4.971763,-4.278013,-4.604155,-3.888079
1.93945,1.676631,-2.831043,1.492343,-3.231242,-3.479563,-3.576512,-5.683257,2.11479,2.760047,1.748101,2.491561,-2.21547,-2.018227,-2.300396,-1.515819
2.738809,2.799058,-2.093215,2.664724,-2.504391,-2.711866,-2.861087,-4.708061,-1.486793,-1.031589,-1.815339,-1.283762,1.811937,2.474777,2.170906,2.984054
-4.551557,-4.471806,-9.450406,-4.835523,-1.006251,-1.237362,-1.174525,-3.0407,2.129528,3.136527,2.86409,2.376914,-5.454724,-3.606314,-3.489327,-2.975832
-0.165971,-0.282918,-4.924795,-0.522059,1.27443,1.281428,0.987656,-0.429224,-2.205156,-1.856957,-2.46489,-2.126047,-1.270603,-0.948562,-1.331812,-0.476748
1.678635,1.838027,-3.341804,1.292473,-2.886334,-2.989848,-3.238883,-4.98562,-1.279728,-0.925383,-0.969225,-1.15547,0.581094,1.956207,1.569683,2.308071
-2.4498,-2.350916,-7.337079,-2.786881,-1.965309,-2.263703,-2.140108,-4.023866,1.586636,2.030688,1.519044,1.811197,-3.490787,-2.605715,-2.95044,-2.273599
-0.09633,-0.476298,-4.50196,-0.376912,0.374297,0.235535,0.00951900000000006,-1.859258,-0.816907,-0.325026,-0.862618,-0.509839,-2.49975,-2.213146,-2.588571,-1.707043
0.996864,0.899973,-3.738884,0.657651,-1.989289,-2.339823,-2.158636,-4.108011,-0.973899,-0.566965,-1.263815,-0.854776,2.536134,0.365354,0.0316210000000001,1.130179
-1.255027,-1.133487,-5.545309,-1.266919,0.402912,0.109111,0.304028,-1.564595,-1.514627,-1.082458,-1.533691,-1.216846,0.372164,0.747163,0.41432,1.285485
-3.297155,-3.659053,-7.247657,-3.308704,6.265809,6.17463,6.07156,4.254593,-4.880141,-4.461085,-5.220115,-4.594019,-1.830459,-3.135587,-3.571877,-2.459195
3.750378,3.731182,-0.759697,3.55271,0.784456,0.771138,0.407173,-1.345372,-6.146894,-5.865848,-5.610618,-6.338931,4.099895,4.361999,4.038456,5.001483
-0.294568,-0.391636,-5.17603,-0.757305,-0.558524,-0.956857,-0.710625,-2.560401,-0.906536,-0.501778,-1.08922,-0.687363,-0.745024,-0.197083,-0.529129,0.35485
-4.24055,-4.732029,-8.78436,-4.627741,4.456392,4.350443,4.204515,2.453197,-3.94866,-3.563555,-4.340478,-3.773016,-0.598652,-2.114057,-2.434286,-1.305876
2.609505,2.21785,-2.067455,2.085628,0.022112,0.029205,-0.359587,-2.101951,-1.669013,-1.246901,-1.522862,-1.431749,-0.0698880000000002,-0.331969,-0.628878,0.34357
2.657248,2.499962,-2.36136,1.967721,-1.01131,-1.242068,-1.19338,-3.059807,-1.982804,-1.637681,-2.091538,-1.924022,1.1176,-4.69999999999082E-05,-0.339575,0.812097
-1.603643,-1.75215,-6.364759,-2.015639,0.163497,0.078286,-0.078626,-1.90976,-2.738712,-2.560454,-2.4663,-2.892464,0.447464,-0.291186,-0.683012,0.452535
2.752264,2.256671,-1.928977,2.14325,-0.430704,-0.372109,-0.860628,-2.711759,-3.657845,-3.379533,-3.128949,-3.680197,4.002335,3.948924,3.590171,4.637768
4.061615,4.013484,-1.040994,3.381427,-1.608195,-1.859186,-1.820156,-3.806271,-4.715732,-4.476958,-4.577582,-4.807538,5.443578,4.325049,3.982824,5.195063
