fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:07:40 AM
VariableInfo
Name:,oxygraph2.hbo.Block1
Size:,2265 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:06:52 AM
Notes:,Oxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_02_01141708.oxy
Labels:,DATA,HBO
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
-2.080191,-1.717411,-2.205747,-1.302593,-0.872711,-1.13808,-0.903298,-3.086791,-1.242389,-1.23132,-1.122484,-0.516369,-3.139221,-2.832884,-3.271455,-2.683601
-1.313093,-0.761102,-1.648277,-0.590023,-2.389454,-2.280405,-2.121192,-6.451223,-5.014201,-3.490007,-4.190657,-4.37975,-1.014119,-1.163465,-1.578977,-1.0072
-2.543475,-2.012735,-2.833837,-1.855947,-1.888308,-1.977825,-1.849362,-3.176565,-1.665211,-1.692788,-0.808359,-1.129466,-1.846226,-2.31452,-2.702665,-2.152767
-2.237377,-1.892031,-2.47402,-1.644949,-0.383399,-0.492867,-0.40841,-2.044567,-3.417015,-3.138928,-3.448456,-2.896256,-1.376082,-3.469163,-4.036594,-3.505802
-2.001673,-1.671481,-2.152044,-1.304924,1.503389,1.435128,1.535947,-2.108013,-3.675975,-3.550502,-3.403271,-3.105091,-2.374134,-2.318437,-2.646684,-2.183786
-5.980597,-5.672425,-6.248619,-5.319252,0.487178,0.402483,0.437744,-1.044421,-5.12385,-4.392776,-4.663777,-4.635356,-0.536813,-2.047866,-2.608754,-2.018969
-4.596578,-4.357565,-4.895782,-3.997052,2.811755,2.789775,2.897743,0.147786,-5.678915,-5.197321,-5.864342,-4.999349,0.66935,-0.159659,-0.603416,-0.073323
-4.42317,-4.111521,-4.739789,-3.707138,0.028917,0.046563,0.100747,-1.711618,-3.407442,-2.741654,-1.932451,-2.825085,-0.102847,-2.00434,-2.592728,-2.072905
-2.623917,-2.042213,-2.654777,-1.621762,1.869823,1.99291,2.140106,-1.547034,-3.289246,-3.88517,-2.291031,-2.71774,2.340044,-0.140533,-0.597027,-0.127795
