fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:07:40 AM
VariableInfo
Name:,oxygraph2.hbt.Block1
Size:,2265 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:06:52 AM
Notes:,Total-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_02_01141708.oxy
Labels:,DATA,HBT
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
-2.703231,-2.503653,-3.038461,-2.417327,-5.565388,-5.776943,-5.681256,-5.548364,-3.952139,-4.130975,-3.474022,-3.767671,-4.953141,-5.511408,-5.873791,-5.594673
-2.76232,-2.439272,-3.137953,-2.421224,-6.252838,-6.225554,-6.188223,-6.965368,-4.375298,-3.997999,-3.46675,-4.004051,-4.450245,-4.666738,-4.950116,-4.660504
-4.237614,-3.968465,-4.550399,-3.864607,-4.872846,-4.929176,-4.839271,-5.159552,-4.724958,-5.006571,-4.507259,-4.392545,-4.728661,-5.505656,-5.908093,-5.664822
-3.730693,-3.498924,-3.950481,-3.354816,-5.206068,-5.242464,-5.157164,-5.723893,-5.222457,-5.795024,-4.600632,-4.908706,-3.076426,-4.00589,-4.353849,-4.107363
-2.292192,-2.074723,-2.511675,-1.922318,-5.384921,-5.404494,-5.298818,-6.794476,-4.981068,-4.69752,-4.189641,-4.629549,-4.748067,-5.104085,-5.448768,-5.271712
-4.534683,-4.218519,-4.669624,-4.010176,-4.686679,-4.717428,-4.610411,-4.953155,-6.030799,-5.711895,-5.43479,-5.73091,-3.56086,-4.146171,-4.490808,-4.208473
-3.774726,-3.488951,-3.930882,-3.325585,-3.3993,-3.430173,-3.214454,-5.380259,-5.603173,-3.932687,-3.5818,-5.214164,-4.318237,-4.542435,-4.854232,-4.593046
-3.735667,-3.461388,-4.013622,-3.318939,-4.602852,-4.667991,-4.502305,-5.190728,-5.227534,-5.289409,-4.874619,-4.89601,-3.732104,-4.272144,-4.568693,-4.33175
-2.742588,-2.514658,-3.101709,-2.400105,-4.776992,-4.768462,-4.620211,-5.861274,-4.924974,-5.149882,-3.779283,-4.615084,-2.724806,-4.185199,-4.431819,-4.219363
-2.413648,-2.204262,-2.805199,-2.097456,-4.967465,-4.947023,-4.847661,-5.502057,-4.204229,-3.394301,-2.502981,-3.794436,-4.114541,-5.034575,-5.267372,-5.087599
-2.060825,-1.850233,-2.460722,-1.770638,-5.507837,-5.518773,-5.498705,-5.66603,-3.31541,-3.162515,-2.825455,-2.971568,-6.470653,-7.007642,-6.883163,-7.032247
-1.965453,-1.759865,-2.37183,-1.696005,-5.325959,-5.362147,-5.305869,-4.339484,-4.650982,-5.994123,-4.323568,-4.37983,-4.871844,-4.950971,-5.229807,-4.987408
-1.588924,-1.40026,-2.053849,-1.407575,-6.157417,-6.155996,-6.2053,-5.38908,-4.065338,-5.153044,-4.050521,-3.737743,-5.825961,-6.374334,-6.549578,-6.504487
-2.563155,-2.353336,-3.052321,-2.378088,-5.613208,-5.637904,-5.626035,-4.675782,-3.833891,-3.785553,-2.684905,-3.507803,-5.303947,-5.910658,-6.308956,-6.035179
-3.239097,-3.144572,-3.482051,-3.052287,-4.605785,-4.684594,-4.625004,-4.217231,-6.232149,-5.120454,-5.004732,-5.915556,-3.962603,-3.703394,-3.946395,-3.66248
-2.851016,-2.671616,-3.373068,-2.723831,-5.061738,-5.217537,-4.863907,-3.789649,-4.694148,-5.339007,-4.675634,-4.338344,-3.929977,-4.268366,-4.83974,-4.594325
-3.741511,-3.541232,-4.262456,-3.595417,-4.307328,-4.416439,-4.375297,-3.028678,-5.500532,-5.566051,-4.79069,-5.192329,-4.397383,-4.319987,-4.705688,-4.846193
-4.553441,-4.329713,-5.036454,-4.353363,-3.949641,-4.051118,-3.963863,-3.157652,-5.179991,-4.911141,-4.583508,-4.874083,-4.669865,-5.157107,-5.392233,-5.193351
-4.438289,-4.041874,-4.903471,-4.115871,-3.667633,-3.765356,-3.643406,-3.220108,-4.811199,-3.792405,-3.299129,-4.473679,-6.476849,-6.600092,-6.953375,-6.701726
-4.527361,-4.624379,-4.936287,-4.18103,-2.908611,-3.052293,-2.79835,-2.747527,-5.364726,-5.186273,-4.2507,-5.080893,-5.453391,-6.206906,-6.613436,-6.349304
-4.849576,-4.531127,-5.203736,-4.498641,-4.684853,-4.754829,-4.603311,-5.13651,-5.103333,-3.724437,-3.061687,-4.762223,-4.830277,-5.275222,-5.59252,-5.397198
-5.205751,-4.812448,-5.581844,-4.837617,-3.674631,-3.841189,-3.664364,-3.777112,-6.269173,-5.764947,-5.851051,-6.001604,-2.98973,-3.680463,-3.971641,-3.823332
-5.217171,-4.877474,-5.527478,-4.83779,-3.724846,-3.816979,-3.624584,-5.919912,-4.685229,-4.599726,-4.166733,-4.362924,-4.785296,-4.949081,-5.25333,-5.009341
-4.336017,-3.987056,-4.651868,-3.952783,-4.002735,-4.112085,-3.938045,-4.509535,-5.277323,-5.319756,-4.489714,-4.944946,-4.016874,-5.315604,-5.74019,-5.48424
-4.841586,-4.539547,-5.08495,-4.445822,-2.908629,-3.005434,-2.712936,-4.643284,-5.781879,-4.427077,-4.176953,-5.559318,-3.815654,-4.306261,-4.614007,-4.395593
-4.075783,-3.741351,-4.342657,-3.677282,-3.812244,-3.903669,-3.679108,-4.84089,-5.32804,-3.802641,-3.836525,-4.977201,-2.702729,-4.175487,-4.506546,-4.321797
-4.774048,-4.457891,-5.098332,-4.400441,-4.418689,-4.515142,-4.350666,-4.747193,-6.353868,-6.262068,-5.60592,-6.033623,-3.466854,-3.933022,-4.446584,-4.284132
-5.224885,-4.921388,-5.427721,-4.812305,-2.992537,-3.118383,-2.830658,-3.834401,-6.977466,-5.135069,-5.557025,-6.652343,-4.953886,-5.058385,-5.276867,-5.067972
-4.50765,-4.268533,-4.677951,-4.111873,-4.434388,-4.479597,-4.295788,-5.298134,-5.23386,-4.584863,-4.248128,-4.887517,-4.477376,-5.071846,-5.359395,-5.194675
-4.459953,-4.13787,-4.695707,-4.064682,-4.851696,-4.875417,-4.755807,-5.223214,-4.853073,-3.526455,-3.676349,-4.530747,-4.224865,-4.505257,-5.053458,-4.857217
-4.438873,-4.075701,-4.733592,-4.02848,-4.805627,-4.86616,-4.737201,-4.822239,-4.53455,-3.2166,-3.214764,-4.21524,-4.255686,-4.218858,-4.430427,-4.213899
-5.051108,-4.730426,-5.254457,-4.601913,-4.761531,-4.838447,-4.714028,-5.319264,-4.457402,-3.769224,-3.252586,-4.090811,-3.780715,-3.828442,-4.054719,-3.820365
-4.375399,-4.084838,-4.566354,-3.94461,-4.236243,-4.364361,-4.21399,-4.251169,-4.968985,-4.017683,-3.503037,-4.548858,-4.190951,-4.193166,-4.410435,-4.201987
-4.219248,-3.907048,-4.344868,-3.754744,-4.781039,-4.915002,-4.548239,-3.65843,-4.096629,-4.14268,-3.350729,-3.718453,-3.620704,-4.302639,-4.504488,-4.333775
-3.981335,-3.666459,-4.091009,-3.520494,-3.244237,-3.378195,-3.18857,-4.095562,-4.602635,-5.016987,-4.195328,-4.277324,-4.217373,-5.020344,-5.248649,-5.06868
-3.895258,-3.603487,-4.023174,-3.455952,-2.810866,-2.985091,-2.778977,-3.862433,-4.645459,-5.299223,-4.406806,-4.339218,-4.825962,-5.541369,-5.775695,-5.597094
-3.692721,-3.461924,-3.880862,-3.341921,-2.81964,-3.019918,-2.808416,-3.935833,-4.703341,-5.435341,-4.471085,-4.399948,-5.087493,-5.759912,-6.002786,-5.816954
-4.046333,-3.93283,-4.324253,-3.793398,-2.190883,-2.31411,-2.080272,-3.447408,-4.639799,-5.010175,-3.77542,-4.292914,-5.939347,-5.824236,-6.09287,-5.894548
-3.125606,-3.072722,-3.517769,-2.97902,-3.521866,-3.829209,-3.774762,-3.384322,-3.967793,-5.545706,-4.225699,-3.683133,-5.129698,-5.475973,-5.769637,-5.600341
-2.476648,-2.476125,-2.843883,-2.359877,-3.648319,-3.732055,-3.541962,-4.218079,-4.804725,-4.935707,-3.811073,-4.514409,-4.629714,-5.367412,-5.694333,-5.546551
-1.974232,-2.023809,-2.307573,-1.878745,-3.950953,-4.014197,-3.789699,-4.765086,-4.939632,-5.624803,-5.071264,-4.672428,-4.624762,-4.430123,-4.726231,-4.617594
-1.708784,-1.758828,-2.001187,-1.599342,-3.931776,-3.997266,-3.728659,-4.923212,-6.007861,-5.672515,-5.642557,-5.874437,-3.055339,-3.930225,-4.265681,-4.043946
-2.554826,-2.576623,-2.807759,-2.375012,-4.427804,-4.389014,-4.183516,-5.729395,-5.795046,-4.529598,-4.293383,-5.486014,-3.48473,-3.659602,-3.902643,-3.704513
-1.410015,-1.614553,-1.699736,-1.217826,-4.988006,-4.97343,-4.846931,-5.433372,-5.459198,-4.998188,-4.397498,-5.131399,-3.646429,-3.864415,-4.131598,-3.95814
-2.83938,-2.725766,-3.172232,-2.594829,-4.41606,-4.402659,-4.266115,-4.804428,-5.517581,-6.297876,-5.940376,-5.273905,-2.598124,-3.076398,-3.330822,-3.135113
-2.285217,-2.121462,-2.630988,-2.019254,-5.531914,-5.578382,-5.464932,-4.693539,-4.818406,-5.453391,-4.743767,-4.677092,-4.268546,-4.31344,-4.637372,-4.492879
-1.337142,-1.163397,-1.754231,-1.128214,-6.052499,-6.046515,-5.966922,-6.047073,-4.429779,-4.469184,-3.770885,-4.101017,-3.342506,-3.793373,-4.103505,-3.895231
-2.045336,-1.868945,-2.48313,-1.847411,-5.846985,-5.893763,-5.82157,-4.88133,-5.123852,-5.227294,-4.726528,-4.770304,-3.808217,-4.283615,-4.592695,-4.353007
-2.61135,-2.460336,-3.107912,-2.455554,-4.018692,-4.135242,-3.949148,-3.683344,-5.379926,-5.244887,-4.798215,-5.000721,-3.596261,-4.453622,-4.803326,-4.581914
-2.562338,-2.413372,-3.082172,-2.368135,-6.126363,-6.206608,-6.151993,-4.685508,-4.407605,-5.329789,-4.342884,-4.094814,-3.16631,-4.17699,-4.516069,-4.264739
-3.140604,-2.975404,-3.665011,-2.957427,-5.335438,-5.462287,-5.382079,-4.791115,-4.223439,-4.903654,-3.50354,-3.91155,-4.381748,-4.858922,-5.196966,-5.016194
-3.92092,-3.709293,-4.446041,-3.711297,-4.0065,-4.073089,-3.93208,-3.586985,-5.60229,-6.796899,-5.325621,-5.354701,-3.193678,-4.116733,-4.453202,-4.175755
-4.694269,-4.432497,-5.179047,-4.419387,-4.711347,-4.734692,-4.648391,-3.859692,-4.243068,-4.742313,-3.696218,-3.965412,-3.732552,-4.577473,-4.901284,-4.686194
-4.023693,-3.865113,-3.727538,-3.825607,-4.945073,-5.001285,-4.94814,-4.381319,-3.952718,-5.855098,-4.542095,-3.679919,-3.223355,-4.265686,-4.632318,-4.40758
-4.830149,-4.524487,-5.178969,-4.459339,-4.696001,-4.753848,-4.695466,-3.385207,-5.713534,-6.631615,-5.461748,-5.451296,-1.279815,-2.737248,-2.929031,-2.765759
-5.555225,-5.225328,-5.771806,-5.14043,-4.647792,-4.688595,-4.357927,-3.867779,-5.67217,-4.781766,-4.02585,-5.367596,-4.269076,-4.305668,-4.371565,-4.246292
-5.282573,-4.846052,-5.675923,-4.825795,-3.547669,-3.613403,-3.475707,-2.617938,-5.734977,-4.856228,-4.978411,-5.465776,-3.316681,-4.012578,-4.288023,-4.169276
-5.851756,-5.41539,-6.233448,-5.375154,-3.146659,-3.215395,-3.055498,-3.06739,-6.235681,-5.588546,-5.464061,-5.973503,-3.476922,-4.478168,-4.781112,-4.703001
-5.58513,-5.167705,-5.931439,-5.08725,-3.185807,-3.24643,-3.070849,-3.455765,-6.904861,-6.778933,-6.464851,-6.705602,-3.022987,-3.56101,-3.868203,-3.659824
-5.723745,-5.319478,-6.050881,-5.220264,-2.544781,-2.593237,-2.315643,-3.642256,-6.826765,-5.852989,-5.888605,-6.581004,-3.178255,-3.589709,-3.85478,-3.639026
-5.27956,-4.882607,-5.580328,-4.759529,-3.806038,-3.795883,-3.606547,-5.599981,-4.818527,-4.165879,-4.167329,-4.540275,-3.420278,-4.231578,-4.550807,-4.414781
-5.666211,-5.263255,-5.903935,-5.119785,-2.910011,-2.904789,-2.830602,-5.628699,-5.437875,-6.078214,-5.330726,-5.179386,-1.805112,-2.829224,-3.090827,-2.912098
-5.660284,-5.364329,-5.85921,-5.141902,-1.671169,-1.700389,-1.456376,-4.595513,-6.031083,-4.748488,-4.82846,-5.706924,-2.588634,-4.032432,-4.284796,-4.104785
-4.365607,-4.071301,-4.577743,-3.871069,-4.267364,-4.237217,-4.148632,-4.81511,-4.640414,-4.589719,-3.387473,-4.391235,-4.30232,-4.633455,-4.978788,-4.793841
-5.331559,-5.125002,-5.60737,-5.00059,-3.744004,-3.755819,-3.576529,-4.660995,-5.510393,-6.602874,-5.743961,-5.277964,-3.045631,-4.069136,-4.405279,-4.28689
-4.37395,-4.190044,-4.503109,-3.927747,-4.568497,-4.545566,-4.42597,-5.312294,-5.659639,-6.008572,-5.137046,-5.431933,-2.158433,-2.253552,-2.63013,-3.115846
-4.055866,-3.901263,-4.16225,-3.619708,-3.80334,-3.816665,-3.696248,-5.299897,-4.571378,-4.958077,-4.314656,-4.432845,-2.707846,-3.782134,-4.087792,-3.893297
-4.226748,-4.085414,-4.296475,-3.77429,-4.085888,-4.097877,-3.843614,-5.634392,-4.772029,-4.426311,-4.048113,-4.44063,-4.122541,-4.85088,-5.035134,-4.941689
-4.19435,-4.10304,-4.24824,-3.781521,-4.219912,-4.194668,-3.93192,-6.802621,-4.993497,-3.738064,-3.317796,-4.694686,-4.176394,-4.263964,-4.490349,-4.356602
-3.373095,-3.326218,-3.476839,-2.989995,-4.798109,-4.821856,-4.595112,-5.483013,-5.842262,-5.77498,-5.73198,-5.584638,-1.803088,-2.690784,-2.82341,-2.670963
-2.757713,-2.71373,-2.870007,-2.403183,-5.003665,-5.02383,-4.767124,-5.886377,-5.14313,-4.291836,-3.829486,-4.873868,-3.710557,-3.711624,-3.978842,-3.994359
-3.156928,-3.093108,-3.235306,-2.758343,-5.891395,-5.900621,-5.713413,-6.85248,-3.616196,-3.094716,-2.086268,-3.304703,-5.059006,-5.346811,-5.626138,-5.439851
-3.340149,-3.29356,-3.408386,-2.95992,-5.214024,-5.302811,-5.100184,-6.217335,-5.692167,-4.923312,-4.775305,-5.44825,-4.106747,-3.491235,-3.595901,-3.41089
-2.807293,-2.806641,-2.89123,-2.454468,-5.410806,-5.508075,-5.247345,-6.334861,-4.48701,-4.312816,-4.111523,-4.219419,-5.271122,-5.485245,-5.733893,-5.605723
-2.354449,-2.303406,-2.475932,-2.0069,-5.355435,-5.413739,-5.199981,-7.046062,-5.619801,-4.70728,-4.619254,-5.286534,-4.432207,-4.500812,-4.734557,-4.556063
-3.462767,-3.507812,-3.713995,-3.400187,-4.529113,-4.628375,-4.349229,-4.900003,-5.210122,-4.876127,-4.535748,-4.871844,-4.528829,-5.364717,-5.736266,-5.546528
-2.624903,-2.475196,-2.813474,-2.243227,-4.153887,-4.210914,-3.903375,-6.314327,-6.533444,-5.440458,-5.633687,-6.250624,-2.664672,-3.730601,-3.933554,-3.791007
-1.824635,-1.608,-2.070191,-1.421878,-5.698863,-5.739872,-5.529039,-6.474718,-4.651917,-4.766586,-4.399533,-4.74575,-4.484401,-5.006547,-5.265838,-5.087935
-2.857148,-2.656555,-3.101405,-2.459857,-4.808093,-4.908933,-4.63472,-5.217974,-4.409128,-4.512648,-3.985442,-4.084265,-4.20587,-4.595945,-4.782515,-4.641343
-2.466697,-2.324846,-2.747177,-2.115216,-5.313749,-5.352523,-5.134893,-6.149049,-4.368361,-3.984157,-3.31237,-3.994798,-5.048677,-4.679946,-4.829602,-4.665243
-3.336304,-3.161782,-3.50866,-2.982076,-5.083291,-5.199011,-4.939212,-5.48065,-2.779988,-3.74903,-2.798433,-2.878372,-5.130726,-5.522359,-5.803376,-5.662101
-2.473273,-2.274026,-2.694592,-2.064316,-6.158432,-6.266691,-5.628674,-5.948946,-4.726678,-4.78162,-4.363267,-4.454455,-4.824112,-5.495141,-5.787345,-5.630674
-2.239888,-2.061209,-2.436792,-1.837521,-4.400493,-4.459041,-4.216637,-5.333325,-5.538528,-4.924664,-4.758343,-5.316232,-4.792835,-5.352421,-5.599254,-5.450824
-2.542677,-2.363151,-2.745948,-2.13248,-3.895513,-3.991827,-3.748728,-4.538882,-4.878165,-4.669619,-4.094052,-4.506313,-4.714345,-5.193292,-5.400319,-5.278899
-2.995753,-2.808652,-3.207094,-2.576404,-3.523138,-3.650492,-3.41802,-3.852692,-4.051272,-5.041415,-4.263513,-3.73699,-4.819162,-5.297499,-5.490321,-5.378778
-2.77973,-2.574726,-3.024371,-2.374735,-3.351539,-3.488488,-3.269074,-3.583521,-3.729415,-5.320535,-4.51365,-3.4848,-5.49499,-5.747046,-5.93821,-5.823174
-3.71948,-3.509171,-3.947492,-3.287493,-3.711007,-3.814341,-3.646117,-3.557047,-3.785382,-5.084704,-4.129716,-3.445643,-5.471903,-5.679286,-5.862369,-5.745195
-3.807706,-3.588112,-3.999848,-3.360008,-3.485595,-3.60762,-3.431692,-3.446071,-3.502271,-4.812528,-3.754605,-3.173364,-5.269922,-5.660916,-5.833981,-5.727147
-3.479784,-3.281118,-3.671154,-3.041932,-3.279223,-3.431115,-3.252154,-4.328996,-3.564421,-4.865228,-3.696719,-3.205574,-4.685014,-5.682891,-5.859545,-5.756235
-3.28379,-3.091054,-3.465682,-2.834657,-2.875577,-3.041075,-2.861985,-4.065947,-3.447751,-4.87936,-3.6071,-3.182387,-5.195964,-5.734662,-5.893892,-5.824835
-3.86564,-3.679402,-4.033747,-3.415181,-2.565626,-2.767827,-2.574358,-2.964645,-3.638128,-5.395046,-4.095262,-3.392868,-6.088186,-6.813469,-7.072852,-6.934345
-3.475496,-3.384742,-3.730641,-3.146225,-2.435941,-2.590155,-2.325287,-3.7268,-4.953997,-5.172328,-4.555319,-4.688825,-4.905166,-5.238214,-5.381163,-5.255078
-3.307831,-3.185538,-3.416974,-2.894677,-2.497446,-2.598218,-2.314899,-4.772721,-5.592166,-4.498235,-4.484528,-5.296147,-5.591715,-5.239833,-5.325619,-5.171895
-2.479591,-2.318393,-2.640752,-2.054692,-4.245474,-4.303927,-4.117164,-5.2082,-4.786847,-4.588909,-4.104301,-4.548902,-4.807254,-4.855051,-5.096893,-4.974139
-2.399027,-2.290804,-2.601288,-2.047053,-5.141492,-5.150509,-5.017276,-6.833935,-4.108129,-3.024757,-2.225768,-3.855576,-5.568334,-5.596379,-5.7551,-5.676828
-3.013769,-2.871243,-3.157682,-2.598061,-3.88293,-3.939501,-3.690521,-4.793519,-4.833537,-4.721908,-4.147977,-4.609309,-4.375679,-4.344278,-4.501425,-4.450639
-2.827753,-2.746633,-2.960029,-2.451605,-4.658351,-4.662699,-4.441238,-6.39979,-5.129955,-4.460299,-4.236026,-4.87444,-3.663844,-4.382338,-4.633402,-4.535974
-2.119476,-2.032487,-2.262198,-1.751207,-4.509647,-4.648047,-4.584702,-6.467145,-5.546914,-4.742235,-4.328616,-5.285169,-2.972883,-2.875727,-2.975613,-2.919354
-2.599367,-2.488592,-2.714408,-2.18542,-4.548572,-4.528352,-4.34106,-6.914741,-5.625344,-3.119644,-4.088501,-5.317312,-4.502558,-4.257075,-4.213265,-4.161259
-2.906967,-2.794258,-3.014741,-2.496506,-3.679161,-3.690729,-3.42599,-6.072214,-5.722201,-4.447247,-4.48431,-5.39283,-5.089425,-5.41554,-5.478792,-5.563356
