fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:07:41 AM
VariableInfo
Name:,oxygraph2.oxy.Block1
Size:,2265 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:06:52 AM
Notes:,Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_02_01141708.oxy
Labels:,DATA,OXY
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
-1.457151,-0.931169,-1.373033,-0.187859,3.819966,3.500783,3.87466,-0.625218,1.467361,1.668335,1.229054,2.734933,-1.325301,-0.15436,-0.669119,0.227471
0.136134,0.917068,-0.158601,1.241178,1.47393,1.664744,1.945839,-5.937078,-5.653104,-2.982015,-4.914564,-4.755449,2.422007,2.339808,1.792162,2.646104
-0.849336,-0.0570050000000002,-1.117275,0.152713,1.09623,0.973526,1.140547,-1.193578,1.394536,1.620995,2.890541,2.133613,1.036209,0.876616,0.502763,1.359288
-0.744061,-0.285138,-0.997559,0.064918,4.43927,4.25673,4.340344,1.634759,-1.611573,-0.482832,-2.29628,-0.883806,0.324262,-2.932436,-3.719339,-2.904241
-1.711154,-1.268239,-1.792413,-0.68753,8.391699,8.27475,8.370712,2.57845,-2.370882,-2.403484,-2.616901,-1.580633,-0.000201000000000118,0.467211,0.1554,0.90414
-7.426511,-7.126331,-7.827614,-6.628328,5.661035,5.522394,5.485899,2.864313,-4.216901,-3.073657,-3.892764,-3.539802,2.487234,0.0504389999999999,-0.7267,0.170535
-5.41843,-5.226179,-5.860682,-4.668519,9.02281,9.009723,9.00994,5.675831,-5.754657,-6.461955,-8.146884,-4.784534,5.656937,4.223117,3.6474,4.4464
-5.110673,-4.761654,-5.465956,-4.095337,4.660686,4.761117,4.703799,1.767492,-1.58735,-0.193899,1.009717,-0.75416,3.52641,0.263464,-0.616763,0.18594
-2.505246,-1.569768,-2.207845,-0.843419,8.516638,8.754282,8.900423,2.767206,-1.653518,-2.620458,-0.802779,-0.820396,7.404894,3.904133,3.237765,3.963773
