fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:17:45 AM
VariableInfo
Name:,oxygraph1.Marker1
Size:,13 x 2
Type:,Numeric
Content:,Marker
Date:,2/26/2025 10:17:27 AM
Notes:,Marker saved by Oxygraph from files C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 03\SUB_03_01_02051427.oxy  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 03\SUB_03_01_02051427.mrk  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 03\SUB_03_01_02051427_C.mrk
Labels:,MARKER
VariableData
Marker,Marker
MarkerTime,MarkerType
155.503,-5
164.844,1
283.828,2
425.156,1
545.516,2
760.625,1
880.5,2
1119.063,1
1238.672,2
1407.25,1
1527.328,2
1671.781,1
1696.852,-1
