fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:17:44 AM
VariableInfo
Name:,oxygraph1.hbo.Block1
Size:,3023 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:17:27 AM
Notes:,Oxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 03\SUB_03_01_02051427.oxy
Labels:,DATA,HBO
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
-3.813391,-1.969821,-3.568916,-1.623175,2.177015,1.717437,1.081048,3.396862,-2.043372,0.593856,-1.739435,0.881665,0.377135,2.323797,1.189414,1.03112
-4.869925,-4.490608,-4.927626,-1.427874,4.048594,8.236057,7.533402,6.176698,2.618311,5.41792,3.006893,5.370562,-1.725521,0.230176,-1.526486,-1.068763
0.88654,2.21465,1.072795,2.940095,2.03106,4.014121,1.649851,3.464661,-1.769281,1.527037,-1.719922,1.803848,2.503198,3.856611,2.558274,3.041734
-2.160756,-0.608669,-1.99261,0.456513,-1.267016,2.545582,-0.829634,1.583773,2.740445,4.372673,2.942677,4.979396,1.862724,3.624742,2.485721,2.435039
-3.69679,-3.314119,-3.726394,0.124692,5.127819,7.801406,5.369606,6.897535,2.826557,5.220733,3.128926,5.410774,-2.33832,-0.21412,-2.118387,-1.624206
1.297028,2.673629,1.548837,3.620538,0.315299,2.573036,-0.233225,1.59781,-1.19635,0.29163,-1.166426,1.018415,3.449567,5.313461,3.802296,3.997302
-2.263475,-0.357971,-1.997535,0.180846,-4.005893,0.44988,-2.224705,-1.414714,4.870814,4.478664,4.042422,5.046109,0.05553,2.261387,0.825429,0.640449
-4.674732,-3.167064,-4.541771,-1.582895,0.754808,4.250964,1.840373,2.791824,0.191434,1.909176,-0.04103,2.351848,-2.694449,-1.734642,-1.560999,-2.829517
0.66263,2.038177,0.802072,3.622397,0.833575,4.178341,1.366139,2.848536,-2.156644,0.96037,-1.829485,1.132243,-3.417224,-1.589469,-3.515805,-2.892786
-1.464246,-0.079809,-1.43837,1.679962,2.726563,4.691651,2.252029,4.66415,-2.083516,0.976604,-1.780487,1.344442,3.068762,4.755263,3.330504,3.492844
-4.431314,-3.512217,-4.728985,-0.031065,4.424896,7.664348,6.542588,5.95785,-3.619311,-0.497671,-3.341094,-0.325274,-0.458766,1.265905,-0.968157,0.09565
0.692658,1.094553,0.645197,3.795885,2.954565,4.293327,1.356285,3.769406,-4.386021,-2.478214,-4.307216,-1.757935,3.672846,5.17715,3.615375,4.159297
0.990195,1.266039,0.810326,2.950451,1.038181,1.70871,-1.765492,1.089393,-0.954823,-0.57738,-0.914748,-0.072845,2.884931,4.122329,2.654393,3.349402
-3.4862,-2.634601,-3.598561,-0.366211,2.680136,5.633094,3.464306,4.362845,-2.860258,0.590683,-2.432701,0.723808,2.195572,3.189458,1.129017,2.62304
1.74061,2.930452,1.914444,3.910426,1.775239,4.773458,2.070338,3.594133,-5.293862,-2.34705,-5.021546,-1.923583,2.524995,3.403028,1.73839,2.9389
-0.347038,0.686073,-0.194659,1.795327,2.317609,5.79004,3.016292,4.439176,-5.700832,-3.467123,-5.528383,-2.674508,5.571618,6.727649,5.258759,5.999098
-3.018764,-2.513893,-3.167674,-0.99052,5.206715,8.756777,6.140217,7.626253,-4.171573,-2.07368,-3.975322,-1.346289,3.262624,3.189112,3.488219,2.936545
1.600674,2.739611,1.705216,4.047635,1.692242,5.608602,2.913317,3.86035,-4.106535,-1.156548,-3.828698,-0.717074,3.26141,3.994167,2.315628,3.657044
-1.58418,-0.300583,-1.510961,2.473777,4.562053,7.674028,5.18038,6.096837,-4.536937,-2.17543,-4.369087,-1.447269,2.778847,4.418931,2.664277,3.362189
-4.721697,-4.041664,-4.868104,-2.38665,6.039518,9.244533,6.757471,7.696371,-5.248823,-2.44351,-5.028853,-1.873261,4.654609,6.232413,4.832706,5.17179
-0.29577,0.928229,-0.199322,2.373273,2.394361,7.070487,4.322587,5.101782,-1.026726,1.540624,-0.770668,2.048398,1.452496,2.687703,1.024766,1.981042
-3.030917,-1.844445,-3.046944,0.988173,2.19272,6.698139,3.76414,4.800533,-0.986932,1.518555,-0.728963,2.181028,1.707955,3.449662,1.627797,2.317279
-5.206372,-4.564387,-5.383703,-1.026451,4.894243,8.503179,5.904582,6.95181,-4.553448,-1.969598,-4.49102,-1.172356,5.747303,5.074849,3.577159,5.88857
0.52139,-0.775504,0.578433,3.662153,1.694455,5.60622,3.066624,3.868471,1.284016,3.786808,1.574499,4.527816,0.288043,3.056954,1.287157,0.800129
-2.686227,-1.470386,-2.659688,0.736898,1.266724,5.573876,3.501289,3.671644,-1.727612,1.088639,-1.055124,0.699001,4.691924,6.914552,5.489507,5.250267
-5.079682,-4.468108,-5.25524,-0.597612,1.858948,5.010491,2.273111,3.582649,0.280821,1.999579,0.400029,3.039839,-0.496266,2.194448,0.182067,0.260349
-1.589513,-1.461733,-1.684939,2.143493,0.295206,1.669751,0.473244,1.625414,-0.066988,2.779463,0.260405,3.269035,0.910442,2.842207,1.525162,1.464466
-1.59583,0.142305,-1.405887,1.114363,0.248342,2.484882,0.397247,1.719017,-0.954883,1.796726,-0.727297,2.211223,5.71649,6.343734,6.031408,6.221065
-4.069392,-2.302737,-3.849901,-2.347393,3.099628,5.44761,2.776739,4.682787,-1.506668,0.331175,-1.504868,1.415886,2.603067,4.65754,2.772336,3.33822
-2.113822,-1.239373,-1.985815,1.489731,0.217804,0.779778,-1.65089,0.737559,1.158369,3.422615,1.385051,4.170893,0.198335,2.371508,0.112125,0.891164
-1.902109,-0.141789,-1.584673,0.830742,-2.449278,1.83581,-1.026749,0.466223,-1.366509,1.433021,-1.147439,2.138779,2.139613,3.614161,1.885604,2.671035
-2.764796,-1.562971,-2.573484,-1.602333,2.152653,5.115419,2.285394,4.079759,-5.00992,-2.638582,-4.956075,-1.839717,4.721014,6.274186,4.967135,5.168526
-1.330536,-0.976605,-1.2306,2.173308,-2.808937,1.587008,-1.421841,0.012242,-1.507533,0.762657,-1.370393,1.573691,2.869194,4.790437,3.102041,3.457881
-2.170372,-0.815969,-1.927376,1.164529,2.257651,5.450136,2.79091,4.158953,-0.893589,1.001038,-0.853881,1.536626,5.716938,7.950472,6.533061,6.213857
-1.916278,-0.990028,-1.781045,1.302013,-0.741699,2.50903,-1.223156,1.638898,-0.712386,1.064411,-0.656232,1.95421,0.986183,3.172816,1.3473,1.598313
-3.172063,-3.515814,-3.230471,0.886164,1.895973,2.743924,-0.324371,1.902064,-0.532619,1.294366,-0.414173,2.260549,0.80251,2.830237,1.305772,1.344733
-1.426123,-0.067056,-1.16013,1.448976,2.851579,5.495495,2.81478,4.50103,-0.915385,1.008734,-0.863139,1.749121,-0.652775,1.227812,0.981783,-0.647678
-3.550565,-1.689596,-3.289084,-2.921525,1.963513,3.735896,0.500909,3.086333,-2.738408,-1.38451,-2.752076,-0.11753,2.313221,4.942933,3.252513,2.91792
-3.019398,-2.103675,-2.927159,-0.045824,1.162301,3.116344,-0.339711,2.354835,-0.915385,1.162345,-0.78819,2.090706,-0.249273,2.429816,0.473816,0.40943
0.486487,2.176692,0.756269,2.861518,-4.367651,-1.244779,-4.756078,-2.370309,1.360124,3.287736,1.544709,4.023505,0.174315,2.028381,0.127966,0.747376
-0.410214,1.186758,-0.212339,1.968486,-0.710107,2.665679,-0.760274,1.533292,0.148723,1.66033,0.182477,2.434654,-1.382471,1.054953,-1.148822,-0.678716
-3.954473,-1.77187,-4.021042,-0.375651,2.602562,4.722117,1.620238,3.874327,-1.864847,0.162126,-1.803035,0.919581,-1.248841,1.292807,-0.976229,-0.502055
-1.138543,0.441948,-0.932775,1.477142,1.359806,4.218721,1.627554,3.004028,-5.762084,-3.240636,-5.726907,-2.508221,1.291951,3.527269,1.609995,1.930308
-1.498917,-0.084105,-1.306593,0.978991,4.899329,6.481467,3.307462,5.701129,-3.81627,-1.585744,-3.792847,-0.824213,2.26026,4.164065,2.249292,2.851137
-2.706671,-1.055094,-2.732593,0.650318,0.489182,3.25945,0.207243,2.174638,-1.47937,0.61454,-1.384906,1.438785,-1.574156,0.386108,-1.844323,-0.884254
1.293057,2.060117,1.431302,4.043576,0.229948,2.627819,1.304479,1.380788,-3.894376,-1.960059,-3.843173,-1.153493,3.606275,5.569774,3.938854,4.15165
1.583043,1.068824,1.318181,4.384039,2.049537,3.557104,0.323679,2.868116,-3.582412,-2.410156,-3.674814,-1.214061,-0.007084,2.184256,0.173637,0.680418
