fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:17:44 AM
VariableInfo
Name:,oxygraph1.hbr.Block1
Size:,3023 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:17:27 AM
Notes:,Deoxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 03\SUB_03_01_02051427.oxy
Labels:,DATA,HBR
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.737184,0.024274,0.62577,0.828528,-0.154047,1.120527,0.354382,-0.766197,-0.701968,-1.532153,-0.698028,-1.14839,-1.717518,-2.106191,-2.508405,-2.128393
2.548744,3.233816,2.68315,1.577816,-1.590811,-3.754172,-4.475374,-2.904323,-5.01791,-6.107895,-5.077056,-5.477247,-0.022661,-0.334191,-0.49791,-0.386646
-2.190045,-1.82582,-2.147344,-2.458689,-1.729016,-2.352718,-2.352604,-2.309623,0.078882,-2.295629,0.333522,-1.665624,-2.427315,-2.373811,-2.642851,-2.782949
-0.610469,-0.935307,-0.671705,-0.840354,1.034368,-0.229974,1.302228,-0.238163,-3.686343,-3.649394,-3.516728,-3.57903,-2.817042,-3.000241,-3.42197,-3.215053
1.496892,2.399553,1.6441,-0.019169,-2.308134,-3.90286,-3.981094,-3.443646,-4.790763,-5.431223,-4.721489,-5.056144,-0.22786,-0.501831,-0.604876,-0.657996
-2.434423,-2.218224,-2.459135,-2.941432,-0.284502,-0.971816,-0.712401,-0.636597,-0.360805,-0.009003,0.005608,-0.13546,-2.889426,-2.958256,-3.139332,-3.305464
-1.004413,-1.400234,-1.046566,-0.922757,4.174022,1.729915,1.750366,2.822217,-4.955734,-4.21179,-4.401876,-4.111995,-1.983035,-2.38306,-2.779774,-2.398877
2.012257,1.344937,1.917054,2.066679,-0.189442,-2.064849,-2.103974,-1.322775,-2.286476,-2.484507,-1.95545,-2.330887,0.173891,0.233444,-0.716185,0.01602
-2.393067,-1.885392,-2.266284,-3.234854,-1.291085,-2.437174,-2.197523,-1.984015,-0.676273,-1.566102,-0.581173,-1.305403,3.374622,3.412867,3.15768,3.008408
-1.072944,-1.068251,-0.882401,-1.645625,-2.523603,-2.100193,-2.138812,-3.278705,0.625069,-0.294554,0.814979,-0.107938,-3.478113,-3.520973,-3.870786,-3.879417
2.997765,2.902675,3.470892,1.113275,-3.797877,-5.341541,-5.878932,-4.729909,-0.129947,-1.404047,-0.032116,-0.980115,-0.131301,-0.111476,0.008338,-0.546675
-1.964908,-0.963379,-1.663352,-2.896206,-4.013468,-3.787874,-3.528421,-3.980865,2.129321,2.059223,2.483766,1.997383,-3.774071,-3.643476,-3.889927,-4.197529
-3.433075,-1.462974,-2.805492,-3.20799,-0.5989,0.066143,1.271624,-0.581935,-1.015091,-0.774199,-0.79109,-0.618326,-2.191289,-1.965953,-2.279368,-2.591187
2.679436,2.986514,3.070904,1.666367,-1.456539,-3.109462,-3.414691,-2.46587,-1.332038,-2.561809,-1.301608,-2.112773,-0.17885,0.184921,0.265754,-0.500993
-2.506432,-2.051907,-2.373184,-2.734417,-2.25649,-3.285199,-3.228843,-2.913237,1.73078,0.795332,1.842303,0.962592,-0.707206,-0.056021,0.019284,-1.102085
-2.398271,-2.074727,-2.393949,-1.782132,-3.038667,-4.504743,-4.490461,-3.950865,3.096099,2.620153,3.335422,2.560948,-4.514242,-4.165298,-4.403177,-4.93056
1.103981,1.414937,1.353197,2.762751,-4.611707,-7.519658,-7.655523,-7.08326,1.183032,0.914508,1.382847,0.872816,-1.787657,-1.124125,-1.864037,-1.936312
-2.243345,-1.669649,-2.05298,-2.647221,-1.793231,-3.567849,-3.580216,-2.743286,-0.541333,-1.265374,-0.435283,-1.09775,0.47856,1.087785,1.289209,0.04388
-1.001806,-0.854177,-0.885861,-2.960436,-2.482081,-4.234299,-4.329294,-3.361514,0.791752,0.293929,1.021993,0.340993,-2.918738,-2.902137,-3.058061,-3.431765
1.998007,2.274711,2.219819,3.413391,-4.558457,-6.134453,-6.284652,-5.509155,-0.319584,-1.211047,-0.190568,-0.915848,-3.160206,-3.076005,-3.235434,-3.664442
-1.558011,-0.945988,-1.379082,-2.000273,-0.486675,-2.807279,-2.788031,-1.792615,-2.949453,-3.520683,-2.804851,-3.308732,0.238241,0.589654,0.56634,-0.242943
-0.7613,-0.443856,-0.54549,-2.618479,-1.21155,-3.551681,-3.507337,-2.580195,-1.701437,-2.144489,-1.504294,-2.069464,-1.832263,-1.854306,-1.973272,-2.326573
1.364384,1.796626,1.615279,0.675006,-2.513753,-4.745923,-4.902524,-3.903449,-0.014496,-0.693276,0.247317,-0.666827,-4.535439,-3.634055,-3.808163,-4.905099
-1.559515,-0.065501,-1.317524,-2.333302,0.00159,-2.058693,-2.119861,-1.131387,-2.840097,-3.21581,-2.637214,-3.114173,-0.720462,-2.090862,-2.193081,-1.062679
-1.095576,-0.81918,-0.94139,-1.638568,2.324768,-0.562866,-0.993082,0.673502,-2.187456,-3.077152,-2.183225,-2.457148,-4.743192,-4.997894,-5.265773,-5.246186
1.27471,1.705683,1.524255,0.365109,-0.874677,-2.652495,-2.600441,-1.863677,-1.191299,-1.041998,-0.839796,-1.204572,-2.489711,-3.092249,-3.321378,-2.995362
-0.971186,0.472019,-0.619605,-1.932603,0.03249,-0.157127,-0.691705,-0.238736,-2.829627,-3.336283,-2.675678,-3.170913,-0.105631,-0.259151,-0.992507,-0.550056
-1.607971,-1.20103,-1.456494,-1.86664,1.639827,2.210371,1.842009,1.912689,-2.515456,-3.392424,-2.393492,-3.07007,-4.809973,-4.362562,-5.069936,-5.294243
0.253542,-0.036466,0.249389,0.402975,-1.28437,-2.36768,-2.435296,-2.198199,0.180072,-0.109286,0.523562,-0.2761,-5.167766,-5.082996,-5.062812,-5.808727
0.510596,1.414853,0.672701,-0.72943,-0.959204,-0.337293,-0.295679,-0.774809,-2.67047,-2.80471,-2.460052,-2.854131,-1.921744,-2.218562,-2.224368,-2.403546
-1.513624,-1.302721,-1.521376,-1.99441,2.06366,0.402108,0.388877,0.845756,-1.270369,-1.815426,-1.076667,-1.811298,-0.6464,-0.443587,-0.491284,-1.113145
-0.237187,0.060071,-0.187517,0.013445,-1.743602,-2.834504,-2.808669,-2.580903,2.835809,2.493975,3.148586,2.32572,-4.740114,-4.771308,-5.041106,-5.19054
0.445669,1.840388,0.652283,-0.872121,1.249869,-0.030497,0.16566,0.516863,-0.732805,-0.928308,-0.501306,-1.062696,-4.244881,-4.337316,-4.500479,-4.758463
-1.278105,-0.73988,-1.24341,-2.099152,0.029895,-1.619414,-1.796625,-0.921857,-1.108805,-1.332703,-0.841111,-1.256666,-7.112921,-7.358037,-7.627468,-7.592222
-0.200669,0.262809,-0.08176,-0.705402,-0.390212,-0.812579,0.531581,-1.093737,-0.100976,-0.021862,0.193579,-0.20883,-3.5786,-3.777916,-3.879585,-4.073903
2.520045,4.23158,2.858511,0.952694,-3.199857,-3.051023,-2.972747,-2.937881,0.44181,0.514999,0.723642,0.294176,-3.34022,-3.448304,-3.665732,-3.810787
-0.92819,-0.316177,-0.893224,-1.591268,-3.591595,-4.075063,-4.135418,-3.95997,-0.14877,-0.606223,0.045075,-0.550293,-4.396683,-4.675662,-5.328967,-4.651968
0.0554,-0.22603,0.06569,0.902249,-1.747714,-1.989326,-1.767897,-1.987168,4.001501,4.40639,4.438341,3.913126,-4.898401,-5.359725,-5.489281,-5.378199
2.194335,3.075177,2.441332,1.357338,-0.933951,-1.04116,-0.504095,-0.97411,-0.14877,-0.518003,0.062749,-0.557591,-3.445449,-4.041626,-4.120283,-3.930935
-1.863395,-1.635143,-1.833338,-2.091079,2.101312,1.763543,2.255065,1.995155,-1.102701,-1.155431,-0.909746,-1.198775,-1.603268,-1.713101,-1.712372,-2.056385
-0.821837,-1.147708,-0.786018,-0.600152,-1.940182,-2.577917,-2.134089,-2.393462,-0.255373,-0.086834,0.015827,-0.176601,-1.793084,-2.238412,-2.231419,-2.265628
3.879058,2.062006,4.209603,2.780492,-4.398529,-4.423769,-4.200939,-4.432157,0.88255,0.870986,1.154368,0.798132,-2.787763,-3.21628,-3.241965,-3.290801
-1.073198,-0.884166,-1.032122,-1.395228,-0.135576,-1.376417,-1.469841,-0.825514,2.169794,1.486883,2.391626,1.572377,-2.986284,-3.23325,-3.262004,-3.504515
-1.132292,-1.349977,-1.175742,-0.872,-3.884218,-4.386124,-4.088383,-4.114758,2.908298,2.56683,3.227384,2.452621,-1.869446,-1.839597,-1.775986,-2.40048
3.237448,1.704098,3.481751,2.27603,-2.228299,-3.030749,-2.834022,-2.7115,1.570757,1.388623,1.869301,1.286379,0.382516,0.389431,0.557199,-0.170143
-1.919182,-1.456736,-1.883216,-2.234302,-1.556561,-2.163622,-2.610101,-1.79947,2.855489,2.668318,3.070135,2.553802,-4.439135,-4.391491,-4.570749,-4.977371
-2.606207,-0.620225,-2.032164,-2.561315,-3.994966,-3.76436,-3.447761,-3.813314,3.710367,4.225401,4.128375,3.846875,-2.946483,-3.114913,-3.225127,-3.495314
1.770943,2.013639,1.900347,3.432328,-2.230229,-2.872208,-2.790598,-2.616556,-1.71124,-1.602774,-1.563931,-1.732847,-4.474196,-4.754695,-5.100219,-4.936427
-0.916925,0.208877,-0.521666,-2.12686,-3.887264,-2.886484,-2.474844,-2.830324,0.264103,-0.185605,0.361425,-0.166767,-1.55482,-1.73239,-1.716321,-2.051496
-1.390007,-1.209737,-1.35798,-3.571122,-3.862079,-3.943132,-3.780849,-3.810677,3.493682,3.221828,3.727508,3.020057,-3.130493,-3.167183,-3.199282,-3.668676
0.620378,0.931874,0.716246,0.697758,-0.547161,-1.582933,-1.537058,-1.106549,-2.129191,-1.668824,-2.056559,-1.821182,-4.63073,-4.881333,-5.262491,-5.069247
0.426832,1.30004,0.610556,-0.550992,-3.49933,-3.640696,-3.537838,-3.652646,-0.303429,-0.944761,-0.170367,-0.862472,-0.333067,-0.320501,-0.309153,-0.906834
-2.041958,-1.434036,-1.752066,-3.559036,-0.780222,-0.902116,-0.912072,-0.932718,0.284368,0.143272,0.503896,0.150334,-4.422874,-4.548682,-4.872152,-4.9022
