fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:19:27 AM
VariableInfo
Name:,oxygraph1.oxy.Block1
Size:,2420 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:19:10 AM
Notes:,Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 03\SUB_03_02_02051508.oxy
Labels:,DATA,OXY
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
2.685129,3.215007,5.52797,0.772636,-7.553823,-6.644802,-7.621181,-7.581765,2.316841,4.931103,3.651175,3.899913,4.727802,1.268084,6.227551,8.297122
8.27755,10.036601,14.840903,10.263892,-5.497682,-2.924162,-5.665484,-4.378101,-0.112949,2.441174,1.922647,1.378318,6.517673,4.794018,7.348184,7.949798
1.85635,3.025325,5.561534,3.696023,0.245117,-1.477974,-0.038153,-1.351491,2.337656,1.248768,1.04755,1.133168,8.442961,6.839436,9.441789,12.817336
6.939282,8.188351,11.722129,10.531227,-9.550653,-2.589287,-9.913123,-5.234505,-6.35265,-5.584362,-8.796584,-7.440979,5.203274,3.398439,6.37607,7.385458
1.264272,3.613421,5.428921,5.782908,-3.553915,-3.043057,-3.92844,-2.818964,1.635237,3.937892,2.012134,2.88129,9.168418,7.828792,9.828512,7.577542
2.515062,2.481158,3.992196,3.06228,-3.24062,-2.064674,-3.027406,-1.12698,-1.624757,1.455709,-1.225918,-0.373647,1.777383,-0.41479,3.089668,4.533456
1.119386,0.168773,0.614159,-1.529463,6.635509,5.68709,6.423301,6.19286,-1.752821,-0.456335,-1.112643,-0.817394,2.331645,0.84163,3.042596,2.476132
-4.019853,-3.987368,-6.214091,-4.010382,0.989289,0.966517,1.035826,1.652644,-5.015956,-0.314266,0.282448,-0.719954,8.046387,6.4848,8.39721,6.528383
-6.661915,-7.080825,-6.899122,-6.282829,1.568609,-0.725536,1.816132,-0.189539,2.330691,2.695215,6.292566,5.052301,7.362312,6.130959,7.327519,6.894695
