fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:32:51 AM
VariableInfo
Name:,lightgraph1.raw.Block1
Size:,3015 x 48
Type:,Numeric
Content:,Light
Date:,2/26/2025 10:32:33 AM
Notes:,Light intensity data saved by Lightgraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_01.nir
Labels:,DATA
VariableData
Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light
Optode1-730nm,Optode1-Ambient,Optode1-850nm,Optode2-730nm,Optode2-Ambient,Optode2-850nm,Optode3-730nm,Optode3-Ambient,Optode3-850nm,Optode4-730nm,Optode4-Ambient,Optode4-850nm,Optode5-730nm,Optode5-Ambient,Optode5-850nm,Optode6-730nm,Optode6-Ambient,Optode6-850nm,Optode7-730nm,Optode7-Ambient,Optode7-850nm,Optode8-730nm,Optode8-Ambient,Optode8-850nm,Optode9-730nm,Optode9-Ambient,Optode9-850nm,Optode10-730nm,Optode10-Ambient,Optode10-850nm,Optode11-730nm,Optode11-Ambient,Optode11-850nm,Optode12-730nm,Optode12-Ambient,Optode12-850nm,Optode13-730nm,Optode13-Ambient,Optode13-850nm,Optode14-730nm,Optode14-Ambient,Optode14-850nm,Optode15-730nm,Optode15-Ambient,Optode15-850nm,Optode16-730nm,Optode16-Ambient,Optode16-850nm
1956,-1,1998,2025,-1,2061,1987,-1,1999,1975,-1,2001,2102,-1,2107,2092,-1,2098,2112,-1,2113,2145,-1,2143,1861,-1,2146,1895,-1,2180,1916,-1,2201,1862,-1,2146,2147,-1,2065,2072,-1,2001,2123,-1,2054,2097,-1,2021
2040,-1,1858,2107,-1,1907,2073,-1,1856,2057,-1,1862,2232,-1,2006,2226,-1,1993,2238,-1,2017,2273,-1,2046,1877,-1,2139,1909,-1,2171,1930,-1,2196,1878,-1,2138,2023,-1,2184,1961,-1,2120,2006,-1,2174,1980,-1,2139
2017,-1,1988,2094,-1,2039,2050,-1,1983,2033,-1,1993,2131,-1,2032,2121,-1,2020,2138,-1,2043,2169,-1,2071,2034,-1,2022,2070,-1,2057,2091,-1,2086,2033,-1,2014,2040,-1,2174,1986,-1,2101,2034,-1,2150,2002,-1,2129
1902,-1,2047,1978,-1,2104,1937,-1,2044,1925,-1,2054,2124,-1,1917,2109,-1,1912,2138,-1,1923,2170,-1,1958,2117,-1,2046,2156,-1,2077,2168,-1,2118,2118,-1,2044,1836,-1,2262,1780,-1,2207,1832,-1,2258,1799,-1,2225
1920,-1,1987,1996,-1,2042,1965,-1,1985,1943,-1,1992,2209,-1,1922,2196,-1,1903,2223,-1,1938,2260,-1,1963,2048,-1,2111,2079,-1,2144,2081,-1,2173,2054,-1,2117,2067,-1,2137,2022,-1,2121,2070,-1,2210,2041,-1,2116
2056,-1,1964,2131,-1,2024,2096,-1,1969,2076,-1,1970,2153,-1,2105,2148,-1,2079,2157,-1,2125,2191,-1,2147,1908,-1,2089,1975,-1,2124,1927,-1,2168,1936,-1,2091,2127,-1,2310,2090,-1,2246,2142,-1,2294,2106,-1,2276
2134,-1,2080,2201,-1,2148,2161,-1,2090,2151,-1,2088,2033,-1,2087,2020,-1,2064,2045,-1,2106,2077,-1,2129,2063,-1,1922,2096,-1,1954,2112,-1,1961,2067,-1,1917,2270,-1,2372,2253,-1,2296,2307,-1,2344,2258,-1,2336
1998,-1,2047,2076,-1,2105,2034,-1,2049,2018,-1,2053,2054,-1,2199,2042,-1,2175,2066,-1,2216,2101,-1,2240,2061,-1,1976,2090,-1,2006,2118,-1,2029,2062,-1,1981,2174,-1,2197,2144,-1,2131,2195,-1,2169,2158,-1,2167
2021,-1,1954,2099,-1,2017,2068,-1,1963,2043,-1,1960,1977,-1,2197,1963,-1,2176,1989,-1,2212,2021,-1,2239,2180,-1,1932,2212,-1,1960,2233,-1,1980,2182,-1,1935,2132,-1,2266,2106,-1,2216,2159,-1,2258,2118,-1,2242
2161,-1,1952,2239,-1,2016,2203,-1,1968,2181,-1,1959,1900,-1,2358,1885,-1,2325,1908,-1,2383,1935,-1,2411,2169,-1,1903,2203,-1,1927,2232,-1,1951,2170,-1,1903,2108,-1,2296,2081,-1,2239,2129,-1,2282,2094,-1,2270
2140,-1,2061,2210,-1,2129,2167,-1,2073,2155,-1,2070,1983,-1,2174,1963,-1,2161,2001,-1,2185,2030,-1,2218,2108,-1,2076,2142,-1,2105,2145,-1,2143,2115,-1,2081,2253,-1,2300,2230,-1,2228,2284,-1,2265,2242,-1,2271
2001,-1,1976,2079,-1,2045,2036,-1,1987,2019,-1,1985,2030,-1,2272,2011,-1,2253,2046,-1,2286,2075,-1,2313,2082,-1,1978,2118,-1,2006,2133,-1,2022,2087,-1,1986,2194,-1,2212,2168,-1,2152,2216,-1,2229,2181,-1,2187
2043,-1,1766,2123,-1,1831,2091,-1,1778,2064,-1,1773,2170,-1,2145,2151,-1,2130,2183,-1,2157,2217,-1,2188,2114,-1,1980,2147,-1,2011,2149,-1,2020,2121,-1,1990,2227,-1,2273,2200,-1,2214,2246,-1,2250,2215,-1,2250
2132,-1,2004,2211,-1,2073,2174,-1,2012,2151,-1,2013,2128,-1,2066,2102,-1,2048,2151,-1,2081,2180,-1,2116,2074,-1,1939,2106,-1,1973,2136,-1,1973,2076,-1,1948,2236,-1,2444,2213,-1,2407,2262,-1,2447,2223,-1,2428
2126,-1,2023,2195,-1,2094,2158,-1,2029,2142,-1,2033,2249,-1,2114,2228,-1,2096,2266,-1,2128,2299,-1,2158,1902,-1,2105,1930,-1,2141,1941,-1,2135,1908,-1,2117,2235,-1,2404,2211,-1,2333,2258,-1,2375,2222,-1,2380
1929,-1,1986,2021,-1,2061,1946,-1,1993,1948,-1,1998,2344,-1,1961,2325,-1,1937,2360,-1,1983,2395,-1,2009,1942,-1,2270,1974,-1,2305,1973,-1,2337,1951,-1,2288,2172,-1,2196,2135,-1,2161,2180,-1,2199,2155,-1,2181
2057,-1,1889,2128,-1,1964,2096,-1,1904,2075,-1,1900,2167,-1,2200,2147,-1,2162,2180,-1,2225,2212,-1,2249,2018,-1,2093,2052,-1,2121,2066,-1,2138,2023,-1,2103,2154,-1,2276,2126,-1,2238,2173,-1,2275,2139,-1,2259
2100,-1,2051,2171,-1,2123,2134,-1,2065,2115,-1,2063,2120,-1,2042,2095,-1,2027,2136,-1,2053,2167,-1,2083,2081,-1,2178,2119,-1,2208,2132,-1,2220,2083,-1,2193,2259,-1,2124,2223,-1,2073,2272,-1,2105,2245,-1,2104
2084,-1,2238,2142,-1,2325,2098,-1,2259,2090,-1,2252,2225,-1,2044,2198,-1,2019,2249,-1,2063,2284,-1,2088,1884,-1,2057,1913,-1,2090,1924,-1,2090,1890,-1,2059,2248,-1,2320,2230,-1,2287,2281,-1,2326,2238,-1,2306
1890,-1,2079,1953,-1,2153,1917,-1,2090,1898,-1,2093,2211,-1,2103,2176,-1,2079,2242,-1,2121,2276,-1,2147,2052,-1,2178,2084,-1,2209,2096,-1,2222,2056,-1,2184,2232,-1,2206,2200,-1,2162,2250,-1,2201,2218,-1,2188
2088,-1,2032,2148,-1,2108,2109,-1,2047,2091,-1,2044,2143,-1,2059,2124,-1,2040,2155,-1,2075,2183,-1,2106,2135,-1,2033,2169,-1,2059,2176,-1,2085,2140,-1,2032,2100,-1,2191,2067,-1,2171,2111,-1,2214,2083,-1,2182
2259,-1,2041,2334,-1,2115,2291,-1,2061,2264,-1,2053,1888,-1,1987,1860,-1,1973,1907,-1,1997,1926,-1,2034,2136,-1,2086,2172,-1,2112,2172,-1,2135,2142,-1,2089,2176,-1,2262,2133,-1,2203,2179,-1,2249,2156,-1,2242
2113,-1,2215,2168,-1,2304,2121,-1,2240,2115,-1,2228,2108,-1,1975,2086,-1,1950,2127,-1,1995,2157,-1,2021,2008,-1,2205,2039,-1,2237,2039,-1,2249,2015,-1,2211,2143,-1,2196,2104,-1,2173,2148,-1,2213,2125,-1,2186
2041,-1,2097,2105,-1,2181,2059,-1,2120,2045,-1,2108,2072,-1,1968,2052,-1,1944,2088,-1,1987,2120,-1,2012,2133,-1,2325,2170,-1,2355,2161,-1,2369,2142,-1,2337,2141,-1,2098,2093,-1,2064,2137,-1,2104,2122,-1,2085
2134,-1,1860,2202,-1,1923,2163,-1,1875,2140,-1,1868,2069,-1,2122,2053,-1,2096,2076,-1,2140,2110,-1,2163,2182,-1,2069,2218,-1,2094,2224,-1,2118,2188,-1,2068,2043,-1,2087,1998,-1,2074,2038,-1,2118,2022,-1,2080
2173,-1,2070,2246,-1,2138,2203,-1,2083,2179,-1,2081,1951,-1,2004,1926,-1,1987,1968,-1,2015,1994,-1,2047,2233,-1,2317,2271,-1,2346,2258,-1,2386,2243,-1,2321,2169,-1,2023,2116,-1,1989,2161,-1,2026,2148,-1,2011
2105,-1,2118,2162,-1,2188,2121,-1,2127,2108,-1,2129,2143,-1,1968,2123,-1,1941,2159,-1,1989,2193,-1,2013,2172,-1,2183,2209,-1,2212,2212,-1,2230,2179,-1,2190,2074,-1,2114,2031,-1,2098,2076,-1,2140,2053,-1,2107
1995,-1,2055,2057,-1,2116,2017,-1,2057,2000,-1,2064,2165,-1,2069,2148,-1,2040,2177,-1,2088,2214,-1,2112,2052,-1,2165,2081,-1,2221,2093,-1,2185,2057,-1,2182,2144,-1,2059,2089,-1,2024,2137,-1,2066,2117,-1,2041
2079,-1,1897,2140,-1,1954,2105,-1,1904,2083,-1,1904,2059,-1,2052,2043,-1,2036,2064,-1,2059,2096,-1,2090,2216,-1,2194,2254,-1,2226,2273,-1,2251,2215,-1,2198,1972,-1,2144,1912,-1,2114,1949,-1,2161,1940,-1,2125
2132,-1,2066,2198,-1,2125,2162,-1,2068,2140,-1,2074,2083,-1,2030,2063,-1,2017,2097,-1,2037,2126,-1,2067,2147,-1,2146,2175,-1,2177,2193,-1,2200,2147,-1,2146,2007,-1,2048,1949,-1,2006,1987,-1,2052,1975,-1,2020
2009,-1,2108,2065,-1,2164,2024,-1,2102,2012,-1,2113,2191,-1,1984,2173,-1,1966,2205,-1,1996,2240,-1,2023,1916,-1,2195,1943,-1,2228,1956,-1,2246,1920,-1,2198,2166,-1,2106,2111,-1,2047,2151,-1,2097,2135,-1,2068
1914,-1,1939,1970,-1,1997,1937,-1,1936,1918,-1,1944,2109,-1,1943,2091,-1,1952,2120,-1,1934,2151,-1,2005,1987,-1,2180,2015,-1,2218,2022,-1,2234,1992,-1,2177,2254,-1,2199,2206,-1,2120,2254,-1,2171,2224,-1,2150
2078,-1,1879,2135,-1,1931,2099,-1,1883,2083,-1,1884,2005,-1,2054,1989,-1,2040,2014,-1,2060,2041,-1,2092,1999,-1,2066,2030,-1,2101,2055,-1,2113,1999,-1,2065,2152,-1,2058,2095,-1,1990,2134,-1,2038,2116,-1,2014
2119,-1,1926,2173,-1,1982,2131,-1,1928,2123,-1,1934,2181,-1,2067,2170,-1,2046,2187,-1,2078,2219,-1,2103,1948,-1,1977,1978,-1,2012,2002,-1,2024,1949,-1,1971,2202,-1,2330,2168,-1,2237,2211,-1,2299,2177,-1,2272
