fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:33:26 AM
VariableInfo
Name:,oxygraph1.oxy.Block1
Size:,3015 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:33:09 AM
Notes:,Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_01.oxy
Labels:,DATA,OXY
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
-0.096306,0.013172,0.147033,0.283142,2.543651,2.472483,2.737095,2.646772,-8.133796,-7.980551,-8.185829,-8.076922,0.753904,0.68801,0.634724,0.725082
5.800966,6.019536,6.138882,6.071409,8.32155,8.475548,8.271165,8.173041,-7.49043,-7.363157,-7.663078,-7.411199,-5.328541,-5.227471,-5.325194,-5.274222
1.887456,2.431849,2.305365,2.117884,5.073368,5.085317,5.060085,4.930391,-0.215666,-0.163951,-0.635202,-0.025406,-4.632151,-4.073862,-4.002438,-4.421118
-2.855281,-2.316867,-2.374507,-2.434956,7.704365,7.421034,7.98759,7.670036,1.481256,1.675948,0.678796,1.581747,-12.524661,-12.662965,-12.302873,-12.615752
-0.882509,-0.356723,-0.144302,-0.42498,9.803053,9.941055,9.822191,9.850665,-1.909955,-1.921372,-2.883091,-1.854943,-3.056515,-3.513549,-4.338909,-3.031068
3.56064,3.781978,3.906143,3.86591,3.948737,4.410162,3.658527,3.75958,-5.417801,-4.377649,-7.130669,-4.611699,-5.198953,-4.407612,-4.204542,-4.778855
2.89649,2.738714,2.7534,3.064644,1.112596,1.277008,1.069851,1.137309,3.039941,3.028102,2.91984,3.302157,-2.790851,-1.214682,-1.040063,-2.086212
-0.063555,0.401761,0.277698,0.263542,-0.832909,-0.642205,-0.8132,-0.669262,1.644914,1.595381,1.432081,1.576615,-1.534206,-0.41946,-0.109012,-1.022554
2.834056,3.091709,3.291251,3.20356,-2.955158,-2.901402,-2.879253,-2.848642,5.916499,5.933805,5.612057,5.919869,-4.135761,-3.324901,-2.991382,-3.728812
6.680969,6.776424,6.753539,6.934095,-8.627707,-8.403297,-8.837653,-8.893451,6.361134,6.523852,6.300236,6.413685,-5.41368,-4.501319,-4.296033,-4.975169
3.499473,3.39976,3.305581,3.5887,-2.274388,-2.566868,-1.944278,-2.140984,0.535738,0.65898,-0.493397,0.633772,-1.726305,-0.342469,0.0499240000000001,-1.124609
1.728731,1.882156,1.819392,1.920626,-3.078674,-3.213506,-2.868773,-2.926204,2.17075,2.349895,1.99933,2.137954,-1.344083,-0.262589,-0.888825,-0.865795
8.340286,8.415286,8.705456,8.632711,3.484269,3.317233,3.614987,3.513571,2.986647,3.000518,2.470885,2.956848,-1.813296,-0.805514,-0.579937,-1.36224
4.643503,4.714531,4.932891,4.83376,4.19098,3.909384,4.512496,4.177602,2.91556,2.829967,3.265432,2.772666,-5.092613,-4.513614,-4.23665,-4.840027
4.027358,3.815304,4.107176,4.117914,6.215656,6.089504,6.385262,6.240403,-5.965373,-6.069928,-5.978453,-6.035303,-4.3199,-3.054708,-2.892642,-3.899869
-0.593025,-0.09893,-0.889689,-0.424721,12.194658,12.32094,12.102684,12.019825,-8.435029,-8.361406,-9.423389,-8.528446,-1.56437,-1.334046,-1.162109,-1.412867
5.471223,5.15745,5.529608,5.588323,2.181408,2.490538,2.035925,2.055706,-2.332457,-2.140886,-2.507936,-2.396255,-3.766678,-3.266786,-2.987673,-3.534768
2.66494,2.526807,2.622554,2.690279,4.542534,4.218726,4.77088,4.598672,-2.514778,-2.263433,-2.545261,-2.765829,2.274504,2.966564,3.294248,2.645112
-1.988534,-2.631268,-2.684586,-2.223186,7.235897,7.131036,7.458579,7.464031,-5.388913,-5.405567,-5.44696,-5.229223,-2.270991,-1.606493,-1.309836,-1.96551
-3.964296,-4.151402,-4.039266,-4.145458,5.501827,5.144434,5.940926,5.917493,-3.310421,-3.229603,-3.554321,-3.306639,-0.239167,0.343917,0.585805,0.0658509999999999
2.790142,2.265874,2.377848,2.490722,4.753357,4.688973,4.75747,4.484666,2.269546,2.437729,1.647071,2.452379,-3.365395,-3.392467,-3.314386,-3.361637
7.03923,6.813899,6.741153,6.785011,-0.70789,-1.220878,-0.321082,-0.934379,1.051452,1.286967,0.396677,1.167401,-2.89215,-2.318107,-2.275449,-2.720629
-0.705432,-1.508426,-1.65794,-1.030862,5.834133,5.847589,5.91746,5.797784,-5.135183,-5.076404,-5.701607,-5.042885,-2.326453,-2.431107,-2.307429,-2.318421
-0.0234259999999999,-0.527043,-0.677124,-0.261503,5.029251,5.064924,5.062584,5.032673,-4.274167,-4.03217,-4.92092,-4.258001,-0.171507,-0.239437,-0.155798,-0.110765
8.302973,8.115785,8.05583,8.158536,1.303431,1.451688,1.148303,1.264782,2.655208,2.889107,2.124662,2.860691,-2.573666,-3.10679,-3.16583,-2.731449
4.156347,4.111853,4.006981,3.960304,0.741073,0.414071,1.030098,0.724688,-1.509881,-1.267739,-2.777322,-1.313551,2.325678,2.170265,2.304358,2.327335
