fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:33:26 AM
VariableInfo
Name:,oxygraph1.hbo.Block1
Size:,3015 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:33:09 AM
Notes:,Oxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_01.oxy
Labels:,DATA,HBO
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.258553,0.225366,0.307983,0.41948,0.807774,0.775992,0.917367,0.877721,-4.099836,-4.020681,-4.105242,-4.060225,0.111492,0.174075,0.147006,0.142095
3.795759,3.888965,3.908765,3.902808,3.907079,4.001173,3.876713,3.831037,-3.791314,-3.707976,-3.860879,-3.7351,-3.222866,-3.123221,-3.151418,-3.171335
1.125864,1.359466,1.294422,1.211097,2.40952,2.437865,2.394975,2.347837,0.017953,0.033028,-0.22994,0.176124,-2.87143,-2.517789,-2.444288,-2.756359
-1.23421,-1.038427,-1.058276,-1.088911,4.416949,4.2736,4.557349,4.362475,0.492576,0.599428,0.036476,0.565669,-6.649588,-6.729696,-6.538643,-6.727396
0.03955,0.23302,0.309586,0.21451,5.20307,5.347865,5.153312,5.181884,-1.367084,-1.349552,-1.796977,-1.375351,-1.963627,-2.453723,-3.034441,-2.105287
1.988838,2.015671,2.044721,2.094705,1.378828,1.692858,1.187448,1.286521,-2.579352,-2.164586,-3.437329,-2.259545,-4.103293,-3.758186,-3.600963,-4.006729
0.773217,0.615732,0.59858,0.811801,0.400647,0.574931,0.3136,0.390058,2.147014,2.147757,2.201377,2.311041,-3.591556,-2.862071,-2.708522,-3.374812
-0.130938,0.028064,-0.050723,-0.014394,-1.236487,-1.053602,-1.276234,-1.168059,1.135477,1.145311,1.047218,1.083645,-1.821945,-1.309087,-1.051772,-1.70712
1.786484,1.800426,1.852411,1.917477,-2.060072,-1.954056,-2.062716,-2.021919,3.197615,3.245147,3.105166,3.19031,-3.363696,-3.106951,-2.858803,-3.34176
3.323769,3.264838,3.178431,3.400237,-5.476494,-5.22847,-5.65426,-5.640123,3.624542,3.760367,3.622205,3.662445,-4.08718,-3.74337,-3.550005,-4.040466
1.163934,1.024549,0.952455,1.162714,-1.616234,-1.706956,-1.48923,-1.585735,-0.122865,-0.024893,-0.621675,-0.106944,-2.658865,-2.018016,-1.708311,-2.526065
1.163702,1.093426,1.068898,1.199949,-2.666441,-2.654995,-2.605147,-2.592659,1.326481,1.44349,1.328794,1.263612,-1.859828,-1.409974,-1.81318,-1.797765
5.64279,5.511258,5.636195,5.728539,0.882608,0.8584,0.921981,0.875101,1.632132,1.659263,1.531587,1.553813,-2.497104,-2.096308,-1.846863,-2.465669
2.08189,1.986883,2.091654,2.118542,1.785184,1.744489,1.872464,1.693295,1.951592,1.908727,2.236621,1.835338,-4.997875,-4.949984,-4.686082,-5.104705
1.681656,1.464099,1.625585,1.671433,2.203835,2.221256,2.241603,2.182044,-2.922482,-2.965776,-2.727211,-3.027402,-4.418407,-3.854771,-3.658879,-4.401505
0.162313,0.181064,-0.051793,0.164658,5.814554,5.994239,5.673279,5.654384,-5.151928,-5.09729,-5.590184,-5.3029,-1.826304,-1.902727,-1.69611,-1.968333
3.390604,3.059082,3.243879,3.376331,-0.0528,0.284013,-0.217601,-0.157772,-1.391818,-1.257155,-1.379009,-1.479066,-3.290976,-3.248071,-2.981921,-3.390545
0.91492,0.72644,0.746751,0.863928,2.118197,2.037935,2.19958,2.120779,-2.125086,-1.973293,-2.018895,-2.321166,0.244508,0.487389,0.790653,0.232366
-2.3734,-2.821667,-2.842031,-2.533822,3.166336,3.254545,3.181032,3.213328,-2.311531,-2.302778,-2.163335,-2.247429,-3.017931,-2.951676,-2.687092,-3.112418
-1.930133,-2.145815,-2.085837,-2.077311,2.008388,1.983038,2.120732,2.139314,-2.439519,-2.362638,-2.432626,-2.466584,-1.378057,-1.247292,-1.020446,-1.437178
1.118986,0.741094,0.795463,0.938748,2.063805,2.117587,2.017235,1.893327,0.909977,1.045053,0.679963,1.007538,-2.500195,-2.792886,-2.659592,-2.746088
2.724793,2.483379,2.4066,2.562848,0.496776,0.336733,0.646634,0.32955,0.001125,0.16814,-0.207802,0.040212,-2.842883,-2.611345,-2.509534,-2.943333
-1.694743,-2.227221,-2.296014,-1.884659,3.182756,3.32491,3.128708,3.096557,-3.365295,-3.301696,-3.481833,-3.35682,-2.127474,-2.428258,-2.254145,-2.364237
-0.515917,-0.928113,-0.993865,-0.661012,2.923647,3.066792,2.857607,2.868323,-3.905227,-3.742853,-4.03673,-3.967211,-0.517562,-0.707332,-0.56489,-0.706063
4.766666,4.578611,4.497158,4.67419,0.199818,0.388422,0.07859,0.177271,0.770837,0.943464,0.607873,0.877207,-1.379563,-1.920771,-1.864591,-1.70186
1.351152,1.235896,1.149711,1.221538,0.927893,0.86541,1.031569,0.87938,-2.755548,-2.586769,-3.308362,-2.689475,1.073958,0.859762,1.034817,0.857685
-0.180083,-0.443941,-0.446907,-0.335289,3.678548,3.884097,3.570881,3.609103,-1.248039,-1.10597,-1.354097,-1.262734,-1.501322,-1.96473,-1.819807,-1.821677
-0.303942,-0.364128,-0.377975,-0.406033,2.119575,2.369339,2.021707,2.107636,-2.225662,-2.588445,-1.864874,-2.422961,0.184108,-0.051104,0.086182,0.003002
3.477998,3.367425,3.33988,3.387423,1.289537,1.316527,1.327062,1.254535,-0.978236,-0.879504,-1.079409,-1.025842,-3.134636,-3.588947,-3.583038,-3.394034
0.99346,0.969736,0.986963,0.93725,1.934246,1.869728,2.066198,1.968249,-0.896774,-0.883764,-1.063551,-0.869199,-1.104034,-1.286256,-1.301545,-1.183207
-1.056884,-1.07844,-1.073406,-1.11015,3.885613,3.948504,3.917747,3.907206,-4.253736,-4.23823,-4.365284,-4.228224,-0.393407,-0.220022,-0.299538,-0.276763
0.842961,0.735269,0.880899,0.795672,3.776915,3.341931,4.164158,3.31808,-3.193523,-3.262282,-3.430369,-3.060445,-1.044761,-0.485481,-0.490399,-0.750792
