fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:33:26 AM
VariableInfo
Name:,oxygraph1.hbr.Block1
Size:,3015 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:33:09 AM
Notes:,Deoxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_01.oxy
Labels:,DATA,HBR
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.354859,0.212194,0.16095,0.136338,-1.735877,-1.696491,-1.819728,-1.769051,4.03396,3.95987,4.080587,4.016697,-0.642412,-0.513935,-0.487718,-0.582987
-2.005207,-2.130571,-2.230117,-2.168601,-4.414471,-4.474375,-4.394452,-4.342004,3.699116,3.655181,3.802199,3.676099,2.105675,2.10425,2.173776,2.102887
-0.761592,-1.072383,-1.010943,-0.906787,-2.663848,-2.647452,-2.66511,-2.582554,0.233619,0.196979,0.405262,0.20153,1.760721,1.556073,1.55815,1.664759
1.621071,1.27844,1.316231,1.346045,-3.287416,-3.147434,-3.430241,-3.307561,-0.98868,-1.07652,-0.64232,-1.016078,5.875073,5.933269,5.76423,5.888356
0.922059,0.589743,0.453888,0.63949,-4.599983,-4.59319,-4.668879,-4.668781,0.542871,0.57182,1.086114,0.479592,1.092888,1.059826,1.304468,0.925781
-1.571802,-1.766307,-1.861422,-1.771205,-2.569909,-2.717304,-2.471079,-2.473059,2.838449,2.213063,3.69334,2.352154,1.09566,0.649426,0.603579,0.772126
-2.123273,-2.122982,-2.15482,-2.252843,-0.711949,-0.702077,-0.756251,-0.747251,-0.892927,-0.880345,-0.718463,-0.991116,-0.800705,-1.647389,-1.668459,-1.2886
-0.067383,-0.373697,-0.328421,-0.277936,-0.403578,-0.411397,-0.463034,-0.498797,-0.509437,-0.45007,-0.384863,-0.49297,-0.287739,-0.889627,-0.94276,-0.684566
-1.047572,-1.291283,-1.43884,-1.286083,0.895086,0.947346,0.816537,0.826723,-2.718884,-2.688658,-2.506891,-2.729559,0.772065,0.21795,0.132579,0.387052
