fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:33:26 AM
VariableInfo
Name:,oxygraph1.hbt.Block1
Size:,3015 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:33:09 AM
Notes:,Total-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_01.oxy
Labels:,DATA,HBT
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.613412,0.43756,0.468933,0.555818,-0.928103,-0.920499,-0.902361,-0.89133,-0.0658759999999994,-0.0608109999999997,-0.0246549999999992,-0.0435280000000002,-0.53092,-0.33986,-0.340712,-0.440892
1.790552,1.758394,1.678648,1.734207,-0.507392,-0.473202000000001,-0.517739,-0.510967,-0.0921979999999998,-0.0527950000000001,-0.0586800000000003,-0.0590010000000003,-1.117191,-1.018971,-0.977642,-1.068448
0.364272,0.287083,0.283479,0.30431,-0.254328,-0.209587,-0.270135,-0.234717,0.251572,0.230007,0.175322,0.377654,-1.110709,-0.961716,-0.886138,-1.0916
0.386861,0.240013,0.257955,0.257134,1.129533,1.126166,1.127108,1.054914,-0.496104,-0.477092,-0.605844,-0.450409,-0.774514999999999,-0.796427,-0.774413,-0.83904
0.961609,0.822763,0.763474,0.854,0.603087,0.754675,0.484433,0.513103,-0.824213,-0.777732,-0.710863,-0.895759,-0.870739,-1.393897,-1.729973,-1.179506
0.417036,0.249364,0.183299,0.3235,-1.191081,-1.024446,-1.283631,-1.186538,0.259097,0.0484770000000001,0.256011,0.0926089999999999,-3.007633,-3.10876,-2.997384,-3.234603
-1.350056,-1.50725,-1.55624,-1.441042,-0.311302,-0.127146,-0.442651,-0.357193,1.254087,1.267412,1.482914,1.319925,-4.392261,-4.50946,-4.376981,-4.663412
-0.198321,-0.345633,-0.379144,-0.29233,-1.640065,-1.464999,-1.739268,-1.666856,0.62604,0.695241,0.662355,0.590675,-2.109684,-2.198714,-1.994532,-2.391686
0.738912,0.509143,0.413571,0.631394,-1.164986,-1.00671,-1.246179,-1.195196,0.478731,0.556489,0.598275,0.460751,-2.591631,-2.889001,-2.726224,-2.954708
-0.0334310000000002,-0.246748,-0.396677,-0.133621,-2.325281,-2.053643,-2.470867,-2.386795,0.88795,0.996882,0.944174,0.911205,-2.76068,-2.985421,-2.803977,-3.105763
-1.171605,-1.350662,-1.400671,-1.263272,-0.95808,-0.847044,-1.034182,-1.030486,-0.781468,-0.708766,-0.749953,-0.84766,-3.591425,-3.693563,-3.466546,-3.927521
0.598673,0.304696,0.318404,0.479272,-2.254208,-2.096484,-2.341521,-2.259114,0.482212,0.537085,0.658258,0.38927,-2.375573,-2.557359,-2.737535,-2.729735
2.945294,2.60723,2.566934,2.824367,-1.719053,-1.600433,-1.771025,-1.763369,0.277617,0.318008,0.592289,0.150778,-3.180912,-3.387102,-3.113789,-3.569098
-0.479723,-0.740765,-0.749583,-0.596676,-0.620612,-0.420406,-0.767568,-0.791012,0.987624,0.987487,1.20781,0.89801,-4.903137,-5.386354,-5.135514,-5.369383
-0.664046,-0.887106,-0.856006,-0.775048,-1.807986,-1.646992,-1.902056,-1.876315,0.120409,0.138376,0.524031,-0.019501,-4.516914,-4.654834,-4.425116,-4.903141
0.917651,0.461058,0.786103,0.754037,-0.56555,-0.332462,-0.756126,-0.711056999999999,-1.868827,-1.833174,-1.756979,-2.077354,-2.088238,-2.471408,-2.230111,-2.523799
1.309985,0.960714,0.95815,1.164339,-2.287008,-1.922512,-2.471127,-2.37125,-0.451179,-0.373424,-0.250082,-0.561877,-2.815274,-3.229356,-2.976169,-3.246322
-0.8351,-1.073927,-1.129052,-0.962423,-0.30614,-0.142856,-0.37172,-0.357114,-1.735394,-1.683153,-1.492529,-1.876503,-1.785488,-1.991786,-1.712942,-2.18038
-2.758266,-3.012066,-2.999476,-2.844458,-0.903225,-0.621946,-1.096515,-1.037375,0.765851,0.800011,1.12029,0.734365,-3.764871,-4.296859,-4.064348,-4.259326
0.10403,-0.140228,-0.132408,-0.00916399999999973,-1.485051,-1.178358,-1.699462,-1.638865,-1.568617,-1.495673,-1.310931,-1.626529,-2.516947,-2.838501,-2.626697,-2.940207
-0.55217,-0.783686,-0.786922,-0.613226,-0.625747,-0.453799,-0.723,-0.698012,-0.449592,-0.347623,-0.287145,-0.437303,-1.634995,-2.193305,-2.004798,-2.130539
-1.589644,-1.847141,-1.927953,-1.659315,1.701442,1.894344,1.61435,1.593479,-1.049202,-0.950687,-0.812281,-1.086977,-2.793616,-2.904583,-2.743619,-3.166037
-2.684054,-2.946016,-2.934088,-2.738456,0.531379,0.802231,0.339956,0.39533,-1.595407,-1.526988,-1.262059,-1.670755,-1.928495,-2.425409,-2.200861,-2.410053
-1.008408,-1.329183,-1.310606,-1.060521,0.818043,1.06866,0.65263,0.703973,-3.536287,-3.453536,-3.15254,-3.676421,-0.863617,-1.175227,-0.973982,-1.301361
1.230359,1.041437,0.938486,1.189844,-0.903795,-0.674844,-0.991123,-0.91024,-1.113534,-1.002179,-0.908916,-1.106277,-0.18546,-0.734752,-0.563352,-0.672271
-1.454043,-1.640061,-1.707559,-1.517228,1.114713,1.316749,1.03304,1.034072,-4.001215,-3.905799,-3.839402,-4.065399,-0.177762,-0.450741,-0.234724,-0.611965
-1.605341,-1.720671,-1.739265,-1.649918,0.417638,0.700067,0.232021,0.290173,-2.296962,-2.219259,-2.034041,-2.380366,-0.66114,-1.195006,-1.021423,-1.150788
-0.270498,-0.356673,-0.369346,-0.309197,-0.858961,-0.587329,-0.987869,-0.931255,-1.430431,-1.603605,-0.906313,-1.61116,-0.447137,-0.700769,-0.553285,-0.781001
1.086008,1.011714,0.907229,1.070066,-0.0719380000000001,0.053582,-0.0315860000000001,-0.0386569999999999,-2.651322,-2.604551,-2.573681,-2.65927,-0.387076,-0.652826,-0.496625,-0.674332
-1.183025,-1.24255,-1.317478,-1.224824,0.039148,0.154225,0.0278670000000001,0.0478759999999998,-1.7648,-1.666773,-1.618888,-1.736068,0.461243,0.329818,0.468554,0.282859
-0.941369,-0.92056,-0.910038,-0.921869,-0.0325139999999999,0.12802,-0.0996169999999998,-0.0762160000000001,-0.933126,-0.860807,-0.737369,-0.960705,-1.089431,-1.086091,-0.974661,-1.184971
1.563252,1.492943,1.510976,1.570916,0.902799,0.750117,1.095925,0.6119,-1.207266,-1.189388,-1.008094,-1.176614,-2.560151,-2.418045,-2.331025,-2.567907
1.311793,1.312822,1.197151,1.31381,0.221412,0.326621,0.248641,0.255274,-0.0390540000000001,-0.026635,0.0848599999999999,0.00085399999999991,-0.480185,-0.343812,-0.22162,-0.467996
0.509332,0.501439,0.472205,0.48316,-0.924142,-0.776219,-0.93152,-0.859491,1.284485,1.280855,1.388686,1.377278,-3.618448,-3.451526,-3.424425,-3.588046
-0.592101,-0.607881,-0.625666,-0.681602,0.119875,0.247162,0.0912769999999998,0.138687,1.547661,1.5634,1.531411,1.682358,-1.926186,-1.915029,-1.827812,-1.95017
2.344807,2.268596,2.194673,2.269802,0.956413,0.950544,1.051191,1.040314,0.450577,0.505104,0.381216,0.593919,-0.250482,-0.495612,-0.440196,-0.369957
-0.524044,-0.523273,-0.59269,-0.576869,0.716393,0.772445,0.736422,0.769012,-0.34437,-0.432091,-0.0696410000000001,-0.333335,-1.601989,-1.361531,-1.303006,-1.466665
-1.400161,-1.378594,-1.431848,-1.447571,3.343036,3.120459,3.46965,2.957657,-1.588953,-1.555413,-1.394638,-1.596844,-0.664143,-0.492151,-0.483446,-0.589412
-0.167774,-0.224696,-0.244238,-0.243802,0.291125,0.315123,0.274886,0.21067,-0.760121,-0.732924,-0.75776,-0.667041,1.91308,2.003201,1.915697,1.974366
0.281113,0.21001,0.15411,0.166953,1.044464,1.077305,1.088896,1.099173,-0.394081,-0.321678,-0.505786,-0.252662,-0.565747,-0.516369,-0.451019,-0.540066
0.369268,0.304979,0.242545,0.299671,0.353302,0.459814000000001,0.384849,0.468558,-1.421479,-1.348047,-1.377496,-1.417133,0.514701,0.192347,-0.0813769999999998,0.431669
-0.374203,-0.452056,-0.543622,-0.453625,0.602197,0.664018,0.661759,0.719692,-0.603842,-0.583764,-0.49294,-0.59337,1.424433,1.526705,1.597392,1.491543
0.395893,0.335845,0.323884,0.341385,-0.717887,-0.637533,-0.670225,-0.591512,0.587422,0.588054,0.690651,0.741202,-0.649104,-0.747085,-0.692906,-0.714281
1.223421,1.23374,1.186481,1.220836,-0.478659,-0.417614,-0.431703,-0.399456,0.0974429999999999,0.133545,0.0425629999999999,0.188315,-0.488684,-0.56876,-0.535713,-0.520822
2.351812,2.170168,2.236111,2.342585,-1.030656,-0.867525,-1.042825,-0.936988,-0.236095,-0.183493,-0.131855,-0.219787,0.107362,-0.045674,-0.0475399999999999,0.0533650000000001
-0.121188,-0.061542,-0.1365,-0.116208,-1.158328,-0.985774,-1.149114,-1.08478,0.880741,0.911827,0.975656,1.012745,1.24498,1.248655,1.285109,1.268273
0.292719,0.17169,0.189802,0.247105,1.205174,1.276227,1.235207,1.290446,0.030225,0.056902,0.209813,0.12688,-0.882911,-0.937455,-0.924143,-0.885742
0.970905,1.009225,0.937183,0.979525,0.056422,0.119711,0.0849200000000001,0.193447,0.972926,1.008709,1.020817,1.115474,-1.924261,-2.073544,-2.017667,-2.002297
1.944362,1.948902,1.843185,1.96862,-1.115096,-1.058677,-1.045334,-0.911106,1.230411,1.025892,1.221527,1.104279,-0.897005,-0.876907,-0.853075,-0.876912
-0.392105,-0.308165,-0.406622,-0.368884,-0.603371,-0.530889,-0.615034,-0.479814,1.487438,1.491264,1.546079,1.672325,-1.230047,-1.042331,-1.012376,-1.126274
