fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:34:26 AM
VariableInfo
Name:,lightgraph1.raw.Block1
Size:,2209 x 48
Type:,Numeric
Content:,Light
Date:,2/26/2025 10:34:09 AM
Notes:,Light intensity data saved by Lightgraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_02_02041225.nir
Labels:,DATA
VariableData
Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light
Optode1-730nm,Optode1-Ambient,Optode1-850nm,Optode2-730nm,Optode2-Ambient,Optode2-850nm,Optode3-730nm,Optode3-Ambient,Optode3-850nm,Optode4-730nm,Optode4-Ambient,Optode4-850nm,Optode5-730nm,Optode5-Ambient,Optode5-850nm,Optode6-730nm,Optode6-Ambient,Optode6-850nm,Optode7-730nm,Optode7-Ambient,Optode7-850nm,Optode8-730nm,Optode8-Ambient,Optode8-850nm,Optode9-730nm,Optode9-Ambient,Optode9-850nm,Optode10-730nm,Optode10-Ambient,Optode10-850nm,Optode11-730nm,Optode11-Ambient,Optode11-850nm,Optode12-730nm,Optode12-Ambient,Optode12-850nm,Optode13-730nm,Optode13-Ambient,Optode13-850nm,Optode14-730nm,Optode14-Ambient,Optode14-850nm,Optode15-730nm,Optode15-Ambient,Optode15-850nm,Optode16-730nm,Optode16-Ambient,Optode16-850nm
2209,-1,2174,2295,-1,2252,2263,-1,2197,2229,-1,2200,2235,-1,2334,2210,-1,2312,2212,-1,2311,2265,-1,2358,2244,-1,2254,2296,-1,2327,2308,-1,2337,2260,-1,2281,2102,-1,2358,2052,-1,2309,2065,-1,2317,2061,-1,2321
2416,-1,2096,2522,-1,2186,2487,-1,2130,2443,-1,2126,2306,-1,2213,2284,-1,2180,2286,-1,2182,2338,-1,2237,2199,-1,2448,2247,-1,2524,2258,-1,2538,2218,-1,2482,2150,-1,2286,2098,-1,2241,2105,-1,2248,2111,-1,2251
2248,-1,2087,2342,-1,2159,2306,-1,2105,2279,-1,2110,2443,-1,2345,2405,-1,2318,2408,-1,2319,2487,-1,2369,2305,-1,2309,2375,-1,2374,2387,-1,2387,2329,-1,2335,2117,-1,2306,2068,-1,2256,2065,-1,2255,2080,-1,2269
2299,-1,1934,2383,-1,2018,2349,-1,1968,2316,-1,1961,2318,-1,2394,2301,-1,2355,2303,-1,2365,2352,-1,2417,2119,-1,2198,2176,-1,2263,2184,-1,2268,2139,-1,2212,2163,-1,2453,2116,-1,2396,2130,-1,2405,2125,-1,2412
2396,-1,2101,2504,-1,2192,2464,-1,2139,2420,-1,2131,2253,-1,2285,2233,-1,2251,2235,-1,2255,2283,-1,2309,2190,-1,2302,2245,-1,2358,2255,-1,2367,2211,-1,2320,2244,-1,2364,2192,-1,2313,2189,-1,2314,2206,-1,2326
2220,-1,2068,2314,-1,2143,2276,-1,2090,2250,-1,2091,2274,-1,2383,2257,-1,2349,2258,-1,2356,2307,-1,2404,2233,-1,2278,2298,-1,2349,2308,-1,2358,2255,-1,2302,2117,-1,2364,2067,-1,2315,2079,-1,2316,2078,-1,2327
2282,-1,2042,2373,-1,2125,2337,-1,2070,2306,-1,2066,2219,-1,2527,2211,-1,2491,2209,-1,2497,2243,-1,2554,2236,-1,2203,2307,-1,2264,2314,-1,2269,2257,-1,2222,2067,-1,2452,2018,-1,2411,2040,-1,2427,2026,-1,2418
2391,-1,2122,2486,-1,2208,2446,-1,2152,2412,-1,2149,2135,-1,2383,2118,-1,2368,2116,-1,2367,2161,-1,2405,2268,-1,2317,2330,-1,2373,2338,-1,2380,2282,-1,2340,2153,-1,2316,2107,-1,2276,2127,-1,2290,2118,-1,2287
2213,-1,2124,2304,-1,2195,2265,-1,2136,2245,-1,2145,2346,-1,2308,2322,-1,2293,2314,-1,2286,2382,-1,2334,2181,-1,2264,2258,-1,2316,2252,-1,2319,2206,-1,2282,2163,-1,2206,2119,-1,2180,2135,-1,2197,2128,-1,2183
