fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:44:27 AM
VariableInfo
Name:,oxygraph1.hbr.Block1
Size:,2209 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:44:05 AM
Notes:,Deoxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_02_02041225.oxy
Labels:,DATA,HBR
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
0.197165,0.156469,0.146637,0.342615,0.602274,0.791059,0.703622,0.613204,-1.160766,-1.126859,-1.240993,-1.115357,2.304851,2.543144,2.690764,2.486246
-3.336126,-3.453703,-3.481303,-3.233336,-1.142958,-1.081379,-1.150752,-1.140354,0.577466,0.640042,0.552918,0.595334,1.138669,1.405117,1.650772,1.277223
-0.919171,-1.071739,-1.039504,-0.946022,-2.389593,-2.075638,-2.163883,-2.534148,-1.775718,-2.034094,-2.127472,-1.850846,1.779163,1.9833,2.347928,1.885175
-2.650774,-2.520514,-2.523656,-2.423917,-0.327226,-0.359654,-0.386837,-0.366848,0.486576,0.361315,0.273789,0.383229,1.823178,1.957518,2.099237,1.923754
-3.020972,-3.173447,-3.109416,-2.879288,0.059033,0.09807,0.038861,0.07635,-0.059173,-0.189332,-0.283167,-0.149439,0.095424,0.301914,0.674791,0.182095
-0.604992,-0.753335,-0.680876,-0.621223,0.271704,0.270146,0.241616,0.227396,-0.858391,-1.037775,-1.127919,-0.923573,2.093148,2.326202,2.453619,2.237202
-1.70943,-1.723278,-1.70933,-1.616244,1.852865,1.718122,1.728611,1.957149,-1.327584,-1.637671,-1.703261,-1.401054,3.374708,3.662445,3.694702,3.591069
-2.823629,-2.834137,-2.781415,-2.659427,2.434491,2.551579,2.527684,2.474414,-1.177112,-1.383484,-1.453372,-1.124751,1.255656,1.45422,1.528234,1.364257
-0.158972,-0.301783,-0.239568,-0.222657,-1.201366,-1.008409,-0.979663,-1.243137,-0.128359,-0.614488,-0.496476,-0.280555,0.481692,0.71477,0.875468,0.614468
0.012243,-0.137912,-0.159054,-0.084992,1.261107,1.252865,1.242279,1.263738,1.435925,1.206838,1.249568,1.367553,-1.846446,-1.714906,-1.635757,-1.843188
-2.195058,-2.189451,-2.44148,-2.199695,0.104134,0.102454,0.121134,0.042233,2.378149,2.257787,2.333825,2.325124,-0.26224,-0.146415,0.043859,-0.261487
-1.283287,-1.374245,-1.321934,-1.408605,2.350616,2.297844,2.353424,2.43475,3.376638,3.104082,3.239259,3.260128,-0.992092,-0.884857,-0.701515,-1.046791
0.80477,0.588018,0.542873,0.618221,1.207514,1.268894,1.251889,1.200489,0.908561,0.496711,0.652138,0.802378,0.551763,0.59505,0.704341,0.519697
-1.879012,-1.880374,-1.876304,-1.944742,0.849073,0.734327,0.7858,0.933824,2.770185,2.637983,2.791104,2.738005,1.730351,1.817155,2.031916,1.678925
-0.111894,-0.065312,0.011935,-0.133059,3.362518,3.404645,3.399071,3.46621,0.652175,0.434174,0.541321,0.599341,-0.260907,-0.247465,-0.219363,-0.309048
2.670578,2.516498,2.510413,2.546119,-0.031522,0.067426,0.043846,-0.061949,-2.146185,-2.104017,-2.118255,-2.12067,1.187159,1.174696,1.14509,1.19411
-1.007439,-1.042163,-1.041242,-1.050129,-0.125803,0.053202,0.09156,-0.150109,0.073469,0.04092,0.121624,0.079335,2.175032,2.216425,2.42655,2.127781
-0.327583,-0.201782,-0.137831,-0.281784,3.285129,3.415099,3.426451,3.351511,0.499503,0.331386,0.432297,0.456745,-1.918517,-1.897956,-1.751353,-1.928563
2.301262,2.234328,2.216618,2.257159,-0.082243,-0.071253,-0.066451,-0.108959,-0.011684,-0.308427,-0.131719,-0.057011,0.994539,0.924929,1.058357,0.96683
-0.949278,-0.845054,-0.843305,-0.927693,0.886371,0.828615,0.923303,0.924497,3.159259,3.044123,3.190943,3.117921,-0.050931,-0.058733,0.164746,-0.140675
0.512556,0.704829,0.789254,0.620642,1.629193,1.136305,1.246986,1.286623,-0.251319,-0.389697,-0.313346,-0.278103,-0.032552,-0.102989,-0.034181,-0.106605
3.087196,3.098903,3.065305,3.115514,-1.74195,-1.625759,-1.49979,-1.884061,-0.283054,-0.340318,-0.280738,-0.298116,0.121268,0.093547,0.261643,0.088394
-0.109579,0.018603,-0.021825,-0.024364,0.91296,0.488612,0.549199,0.550645,-1.511713,-1.516342,-1.499498,-1.496561,1.115178,1.066065,1.193946,1.036349
1.55854,1.770879,1.796464,1.725026,-1.055809,-0.890514,-0.919494,-1.107933,-3.31965,-3.090293,-3.164846,-3.248048,3.076577,3.012458,3.171184,3.016332
2.040157,2.128151,2.029369,2.111989,-0.806795,-0.769343,-0.758132,-0.830081,-2.149319,-1.928506,-1.948723,-2.094287,1.002027,0.82586,1.131763,0.830176
-0.903297,-0.68174,-0.74498,-0.785311,-0.270567,-0.371582,-0.296665,-0.264484,-0.815078,-0.754479,-0.705013,-0.852718,0.684878,0.586455,0.47312,0.600591
0.969682,1.204647,1.181284,1.104998,1.389992,1.518575,1.504492,1.426205,-3.782131,-3.53655,-3.573996,-3.698518,1.695177,1.625218,1.575175,1.631715
