fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:54:08 AM
VariableInfo
Name:,lightgraph1.raw.Block1
Size:,5286 x 48
Type:,Numeric
Content:,Light
Date:,2/26/2025 10:53:37 AM
Notes:,Light intensity data saved by Lightgraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.nir
Labels:,DATA
VariableData
Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light
Optode1-730nm,Optode1-Ambient,Optode1-850nm,Optode2-730nm,Optode2-Ambient,Optode2-850nm,Optode3-730nm,Optode3-Ambient,Optode3-850nm,Optode4-730nm,Optode4-Ambient,Optode4-850nm,Optode5-730nm,Optode5-Ambient,Optode5-850nm,Optode6-730nm,Optode6-Ambient,Optode6-850nm,Optode7-730nm,Optode7-Ambient,Optode7-850nm,Optode8-730nm,Optode8-Ambient,Optode8-850nm,Optode9-730nm,Optode9-Ambient,Optode9-850nm,Optode10-730nm,Optode10-Ambient,Optode10-850nm,Optode11-730nm,Optode11-Ambient,Optode11-850nm,Optode12-730nm,Optode12-Ambient,Optode12-850nm,Optode13-730nm,Optode13-Ambient,Optode13-850nm,Optode14-730nm,Optode14-Ambient,Optode14-850nm,Optode15-730nm,Optode15-Ambient,Optode15-850nm,Optode16-730nm,Optode16-Ambient,Optode16-850nm
1652,-1,1687,1854,-1,1894,1601,-1,1591,1806,-1,1882,1666,-1,1625,1890,-1,2173,1660,-1,1649,1903,-1,2190,1638,-1,1587,1870,-1,1921,1810,-1,1750,1929,-1,2042,1694,-1,1837,1863,-1,1863,1935,-1,1932,1516,-1,1630
1639,-1,1586,1839,-1,1780,1635,-1,1397,1797,-1,1762,1834,-1,1588,2134,-1,2077,1882,-1,1582,2099,-1,2121,1599,-1,1684,1808,-1,2104,1750,-1,1923,1896,-1,2270,1896,-1,1818,1959,-1,1827,2016,-1,1891,1648,-1,1589
1796,-1,1679,1968,-1,1882,1668,-1,1655,1906,-1,1872,1641,-1,1451,1890,-1,2123,1663,-1,1595,1886,-1,2133,1747,-1,1580,1957,-1,1898,1905,-1,1719,2033,-1,2041,1764,-1,1962,1891,-1,1972,2009,-1,2033,1534,-1,1718
1589,-1,1629,1765,-1,1813,1589,-1,1569,1725,-1,1798,1664,-1,1661,1954,-1,2120,1715,-1,1665,1936,-1,2181,1586,-1,1651,1790,-1,1974,1742,-1,1780,1854,-1,2152,1925,-1,1745,1975,-1,1748,2034,-1,1807,1681,-1,1525
1803,-1,1552,1993,-1,1742,1752,-1,1543,1940,-1,1730,1599,-1,1736,1901,-1,2248,1643,-1,1775,1858,-1,2279,1546,-1,1573,1772,-1,1886,1717,-1,1691,1790,-1,2048,1966,-1,1827,2027,-1,1799,2105,-1,1836,1742,-1,1585
1699,-1,1721,1872,-1,1914,1634,-1,1654,1816,-1,1894,1608,-1,1633,1842,-1,2161,1619,-1,1670,1851,-1,2158,1711,-1,1567,1929,-1,1902,1869,-1,1718,1968,-1,2049,1731,-1,1901,1752,-1,1934,1952,-1,1999,1515,-1,1726
1645,-1,1639,1827,-1,1834,1628,-1,1549,1776,-1,1803,1711,-1,1682,2026,-1,2168,1788,-1,1687,1986,-1,2213,1660,-1,1595,1875,-1,1935,1811,-1,1727,1906,-1,2113,1972,-1,1868,2018,-1,1871,2111,-1,1930,1777,-1,1658
1898,-1,1666,2066,-1,1870,1766,-1,1630,1998,-1,1848,1646,-1,1503,1889,-1,2068,1684,-1,1588,1899,-1,2085,1826,-1,1619,1996,-1,1977,1927,-1,1781,2068,-1,2147,1763,-1,1789,1843,-1,1817,1955,-1,1881,1531,-1,1626
1736,-1,1720,1924,-1,1907,1654,-1,1607,1863,-1,1869,1686,-1,1676,1982,-1,2063,1752,-1,1661,1973,-1,2128,1637,-1,1710,1824,-1,2023,1761,-1,1817,1888,-1,2220,1967,-1,1724,1973,-1,1701,2048,-1,1741,1724,-1,1522
