fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:54:08 AM
VariableInfo
Name:,lightgraph1.raw.Marker1
Size:,24 x 2
Type:,Numeric
Content:,Marker
Date:,2/26/2025 10:53:37 AM
Notes:,Marker saved by Lightgraph from files C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.nir  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.mrk  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452_C.mrk
Labels:,MARKER
VariableData
Marker,Marker
MarkerTime,MarkerType
47.08,-2
56.768,-3
56.768,-4
57.595,-5
105.656,1
244.531,2
382.906,1
502.781,2
717.594,1
837.781,2
1076.86,1
1196.235,2
1364.594,1
1484.672,2
1629.156,1
1746.703,2
1939.031,1
2059.594,2
2211.906,1
2332.281,2
2471.485,1
2590.61,2
2725.656,1
2753.111,-1
