fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:55:01 AM
VariableInfo
Name:,oxygraph1.Marker1
Size:,21 x 2
Type:,Numeric
Content:,Marker
Date:,2/26/2025 10:54:27 AM
Notes:,Marker saved by Oxygraph from files C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.oxy  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.mrk  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452_C.mrk
Labels:,MARKER
VariableData
Marker,Marker
MarkerTime,MarkerType
57.595,-5
105.656,1
244.531,2
382.906,1
502.781,2
717.594,1
837.781,2
1076.86,1
1196.235,2
1364.594,1
1484.672,2
1629.156,1
1746.703,2
1939.031,1
2059.594,2
2211.906,1
2332.281,2
2471.485,1
2590.61,2
2725.656,1
2753.111,-1
