fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:55:01 AM
VariableInfo
Name:,oxygraph1.hbo.Block1
Size:,5286 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:54:27 AM
Notes:,Oxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.oxy
Labels:,DATA,HBO
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
-1.995225,-1.801836,-1.498021,-1.572332,-0.451079,-1.4087,-1.073455,-1.134732,2.375185,2.426345,2.211812,3.441545,-1.823069,0.145182,0.138709,-1.685778
0.03314,0.233708,3.617997,0.669317,2.524294,2.925911,3.220582,2.205295,-0.284017,-1.579643,-1.911075,-0.726284,1.072415,1.968022,1.823764,1.09484
0.047141,-0.237787,-1.988285,-0.17452,3.255879,-0.577137,0.156387,-0.393714,3.976564,3.875509,3.996446,4.635584,-3.267453,-1.551754,-0.840706,-3.299623
-1.616635,-1.342725,-1.169184,-0.969385,-1.260741,0.219526,-0.688068,-0.602418,0.24005,0.474485,0.746639,0.678743,2.876512,3.72931,3.64607,3.007626
2.944001,2.806423,1.615717,3.039629,-3.731149,-2.490813,-3.934378,-3.093928,1.396553,1.877108,2.255074,1.661102,1.708317,3.284273,3.84609,2.427753
-2.079467,-1.960592,-2.428123,-1.675661,-1.420443,-1.787267,-2.085848,-1.229673,3.805166,3.477417,3.589767,3.767772,-2.562313,-2.567299,-0.883126,-3.744829
-1.059223,-0.980572,-0.167626,-0.415761,-1.085467,0.230485,-0.223012,-0.551421,2.494491,2.226778,2.696794,1.951837,0.983805,1.78275,2.126223,1.26497
1.562466,1.079554,-0.165375,1.342621,2.066256,0.348653,0.59467,0.573257,4.09647,2.860878,2.987993,3.209356,0.017282,0.796453,1.324754,-1.377405
-1.576001,-1.215814,-1.125759,-0.628496,-1.287603,1.511918,-0.123898,0.700551,-0.305096,0.020178,0.254764,-0.025393,3.79261,4.680256,5.128929,3.643899
3.173831,3.279415,2.13296,3.656086,-3.737041,-1.567422,-3.430133,-2.163709,3.721023,3.080076,4.000931,2.615515,0.319634,1.225378,1.638785,0.254997
-0.438885,-0.589788,-1.956196,-0.380452,-3.19491,-1.741952,-2.567908,-3.092832,2.148136,1.576031,1.755596,1.401845,0.390036,0.872001,1.451594,-0.274575
-2.324626,-2.52553,0.062354,-1.883899,-0.447897,-0.450483,-1.741948,0.502215,4.547918,4.109906,4.311721,3.747684,0.990828,1.632338,2.115199,0.349515
