fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:55:01 AM
VariableInfo
Name:,oxygraph1.hbr.Block1
Size:,5286 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:54:27 AM
Notes:,Deoxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.oxy
Labels:,DATA,HBR
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
1.050798,0.90775,1.135579,1.053759,0.735573,1.656815,1.217577,1.319034,-1.341663,-1.146985,-1.197317,-1.611526,1.975694,-0.528996,-0.5629,0.428152
0.541353,0.401647,-1.228641,0.392277,-2.849909,-3.077823,-3.610686,-2.44703,0.234519,1.159333,1.150203,0.318094,-2.018598,-2.498564,-2.240183,-2.75661
-1.875066,-1.218742,0.228301,-0.861541,-0.177507,1.362576,0.734813,1.293389,-3.606627,-2.858538,-3.177332,-3.418303,1.419346,-0.321813,-1.205698,0.688032
1.941833,2.042163,1.217558,2.050089,1.053728,0.202792,0.221936,0.677458,0.264284,0.696271,0.33059,0.411471,-3.057117,-3.336208,-3.119313,-3.956088
-3.002632,-2.628671,-2.34216,-2.464937,2.978264,1.886724,2.501243,2.643136,0.52846,0.466402,0.177916,0.989961,-3.199343,-3.86384,-4.094593,-4.690574
0.341073,0.709218,0.926836,0.944755,2.012685,2.468921,2.235081,2.082997,-2.997073,-2.337779,-2.530489,-2.254617,1.667675,2.050193,-0.431927,1.174117
0.831544,1.003888,0.223964,1.086102,0.257436,-0.754984,-1.0415,-0.012775,-1.735587,-1.146762,-1.383482,-0.768202,-3.023313,-3.215236,-3.561072,-4.803544
-3.867439,-2.965962,-1.921758,-2.641056,0.163227,1.048948,0.248925,0.770152,-4.814979,-3.019707,-3.123199,-3.36363,0.27203,-0.474906,-1.253643,0.059484
-0.405005,-0.2766,0.145302,-0.099364,0.716983,-0.629578,-0.540379,-0.282644,-0.377179,0.360991,0.218662,0.181558,-3.95025,-3.64598,-3.824832,-4.84708
-2.312479,-2.153357,-2.252939,-2.050459,2.457992,1.038231,1.516974,1.683126,-2.137801,-1.307719,-2.019038,-0.654975,-1.303513,-1.705679,-2.20087,-3.029107
-1.703092,-1.013696,0.153804,-0.636093,3.711238,2.224892,2.373107,2.770753,-2.808328,-1.93691,-2.078221,-1.430854,-0.157237,0.062195,-0.407142,-0.977062
1.829867,2.1932,0.583458,2.160591,1.619425,1.867426,2.113396,1.243297,-5.53183,-5.543271,-5.92068,-4.615972,0.288885,0.235234,0.021896,-0.326768
0.040013,0.411128,0.133315,0.60352,-0.94802,0.995718,-0.030697,-0.783507,-2.848259,-1.945091,-2.038152,-2.084412,-1.079373,0.36364,0.095677,0.047511
2.810283,2.654478,4.768346,2.779243,-1.630179,-0.050843,0.107682,-2.026367,-2.020085,-1.888486,-1.48181,-1.909618,1.09935,0.900964,0.626827,0.557505
-0.061185,0.533102,-1.002403,0.190457,3.287748,3.395122,3.458759,2.698222,-4.482486,-4.34511,-4.719209,-4.111318,2.896635,2.691958,2.290433,2.841136
0.565205,0.62438,-0.485267,0.727917,0.948792,4.051567,3.491155,2.530752,-1.863023,-2.198986,-2.21403,-2.006126,1.650572,2.016604,1.800881,1.982604
4.964062,4.850839,3.091267,4.728638,-0.533417,0.272601,0.353175,-1.063694,2.362859,1.487646,1.451194,1.607034,0.155192,0.761132,0.715685,1.340639
0.64212,0.609745,-0.472062,0.590663,2.293461,4.525414,4.103876,3.39637,-1.61273,-2.438699,-2.607813,-2.521276,5.186739,6.268903,4.462424,7.517855
2.55534,2.991777,2.326385,3.141509,-0.724304,-0.007684,-0.034879,-0.520526,3.226608,2.30937,1.805609,0.92009,-1.227317,-0.842122,-0.673774,0.098713
2.259233,2.385371,0.10588,2.094435,1.780292,2.710574,2.80778,2.228353,-2.852955,-2.688382,-3.018109,-3.017111,2.969042,4.6241,5.225098,5.424468
-1.554967,-1.628408,-1.916925,-1.850735,2.296244,1.288754,1.487993,1.763028,-0.502647,-0.865971,-0.96615,-0.551128,2.054331,1.025369,1.27275,4.009413
3.267809,2.810725,4.322264,2.913433,-0.005732,0.828056,0.951097,-0.274681,-0.39682,-0.197935,-1.193794,0.124984,-0.549578,0.081654,0.153427,-0.237954
-0.108381,-0.20105,-0.786902,-0.226354,1.706682,1.958117,1.645198,2.153444,-1.138253,-0.902183,-0.960182,-0.894106,-1.933483,-1.447513,-1.263226,-2.104398
0.664934,0.932443,1.68026,1.29173,0.434922,2.987534,2.228088,1.940262,-2.088964,-0.7662,-0.478819,-1.524542,-1.275306,-0.289408,0.203541,-0.340804
3.735897,3.733546,1.701836,3.582366,0.089246,-0.216366,-0.816242,-0.020107,-1.14299,-1.088815,-1.000565,-1.297557,0.646764,1.582811,2.047942,1.603464
-0.101982,0.142804,0.255032,0.330779,3.288063,3.169116,4.235841,3.730042,-5.856878,-5.034554,-4.977969,-5.731181,3.003658,3.650027,3.789977,3.969512
2.386161,2.635337,3.823151,3.201485,-0.636259,-0.455551,-0.556229,-0.698255,0.71107,0.815804,0.770912,0.43521,0.704437,1.223326,1.793372,1.880855
0.151235,0.225066,0.449871,0.298985,1.954996,2.281305,2.443126,1.917532,-1.569749,-1.660845,-1.690951,-2.111843,2.635438,3.497798,4.156731,4.065323
0.664934,0.790602,1.747803,1.021438,1.260595,3.550257,3.041192,2.353486,-0.151878,-1.548698,-2.145215,-1.465876,2.41031,0.717082,0.996142,3.176883
3.581581,3.131668,5.319481,3.275773,-2.438086,-0.519771,-0.362287,-2.073822,1.546177,1.182519,1.248217,1.155919,-2.040325,-1.891831,-1.684484,-2.638572
0.481121,0.331883,0.172356,0.376414,3.117227,2.632409,4.4261,4.044367,-0.017673,-0.063198,0.246357,-0.399837,-1.222287,0.903098,1.675605,-0.454585
0.295982,0.581663,1.968319,0.922468,-0.08382,0.688555,0.783972,-0.108158,4.368001,3.226753,4.255648,1.490082,-3.664572,-3.233609,-2.656738,-3.529106
3.582165,3.546196,1.617006,3.514501,1.473177,1.15575,2.00793,0.899112,2.412725,1.888895,1.499948,2.057951,-0.595195,-0.424499,-0.407875,-1.467729
-1.006209,-0.741465,-0.500123,-0.571554,1.720985,0.955268,1.618694,0.717074,-0.224609,-0.440703,-0.62207,-0.717285,4.040587,5.594745,5.982778,4.808718
0.497556,1.070118,1.683789,1.333421,1.391335,1.274698,1.796709,1.090149,-2.090835,-1.46887,-1.707569,-1.607256,-0.128969,0.499654,0.501548,-0.407064
0.454096,0.829878,0.260117,0.635211,4.499206,0.725718,2.21112,1.007625,-1.401494,-1.699304,-2.109763,-1.609363,2.792649,3.662914,3.542262,3.431684
0.427089,0.545326,-0.624525,0.336827,-0.250426,-1.556354,-0.719748,-1.532251,0.344509,0.385283,-0.027567,0.41228,-0.619816,0.181226,0.532215,-0.073499
2.937748,2.664813,5.145915,2.655691,1.326672,-0.560923,0.701014,-0.440121,1.201407,0.639896,-0.030485,2.007958,1.379414,1.932986,1.94978,1.769277
0.085743,-0.044656,-0.690453,-0.111244,4.653152,2.006362,5.389597,3.733677,-1.221322,-2.329768,-3.203291,-0.634502,1.4715,2.011004,2.090609,1.760268
0.644289,0.413251,0.029836,0.380237,-0.776342,0.756054,0.790866,0.248506,1.321767,1.656609,1.759413,1.040606,-0.104677,1.977835,2.4116,1.848465
5.150943,4.973537,2.26778,4.699122,-0.150478,-1.286894,-1.093122,-0.823967,1.115879,1.362548,1.405112,0.778046,-2.11183,-1.08183,-0.486077,-1.265125
0.412975,0.400691,-0.95643,0.348738,2.8392,2.326969,2.537618,2.330131,0.538597,0.516941,0.008137,0.873189,-0.704012,-0.177544,-0.041717,-0.293671
2.067005,2.285828,2.751224,2.648292,2.952117,3.624852,3.657528,2.968105,-2.825428,-2.2842,-2.585671,-2.460689,1.66572,2.27469,2.157901,1.827297
3.074599,3.137007,2.031169,2.931532,0.39056,-0.089277,0.13557,-0.186012,-0.23707,0.423682,0.208489,0.097765,2.274388,4.167217,4.891865,3.853077
-1.164708,-0.852721,-0.76124,-0.813952,3.151788,2.414399,3.189173,2.653208,1.126237,0.714947,0.580404,1.379023,-3.853463,-1.221279,-0.797456,-1.886944
2.090031,1.885179,2.460438,2.138695,2.283662,2.627705,3.164735,2.109615,-1.494052,-1.320168,-1.321788,-1.243766,0.14455,1.276107,1.714255,0.525913
1.810088,1.643266,-0.391664,1.631014,-0.505634,-1.253992,-0.744465,-0.945198,1.382991,1.500017,1.581489,1.455484,-0.093443,1.464207,2.285831,0.977519
-1.073626,-1.005245,-0.276846,-0.831067,3.530837,1.873117,3.863305,1.733156,-1.33959,-1.396235,-1.607382,-0.341915,-2.100291,-1.832552,-1.367974,-2.62046
3.978937,4.003561,2.373971,3.890005,-1.257967,-0.202672,-0.811068,-1.475572,-1.444921,-0.566867,-0.475371,-0.904063,2.148814,1.886415,1.71673,2.662697
-1.254274,-1.061598,-1.073838,-0.950988,4.859371,2.076113,3.975672,1.93151,-0.565607,-0.335679,-0.433693,-0.326495,-1.613615,-0.619465,-0.309704,-1.773868
-0.225566,0.200828,1.012755,0.591476,0.609949,1.02107,1.074483,0.224327,0.817748,1.046697,1.114029,0.729412,-3.723309,-2.373345,-2.098998,-3.832412
1.507016,1.612149,1.1231,1.541526,-1.693466,-2.104274,-2.179036,-2.389187,3.01127,3.830018,3.687476,3.338634,-3.634836,-2.232927,-1.601835,-3.165498
-1.706809,-1.280405,-0.853366,-1.157008,1.380807,1.228232,1.344067,0.764921,1.405345,1.234547,1.12104,1.563716,-4.262312,-4.217852,-4.111386,-5.275555
1.480189,1.628926,4.050207,1.687319,-0.541304,0.571604,-0.317451,-0.934739,-1.428697,-0.471405,-0.304946,-0.75761,-0.42688,0.847759,1.417765,-0.505273
-1.252423,-0.636783,-1.810853,-1.155437,0.516954,-0.473566,-0.543019,-0.345052,-0.139643,-0.128588,1.315364,0.01866,-3.804838,-3.34924,-3.279554,-4.998833
-0.403657,0.193413,1.747851,0.512559,1.243335,1.567481,0.995573,0.45327,-1.59412,-1.575876,-1.780937,-1.151328,-1.220519,-0.635486,-0.802135,-2.162191
2.682045,2.72395,1.853811,2.623479,1.374196,-0.036252,0.205049,0.248839,-3.343951,-3.705836,-3.645163,-2.694937,2.737571,1.978654,1.857069,0.981907
-2.224986,-2.019571,-3.496814,-1.986829,4.458222,4.809571,4.800383,4.025559,-2.153441,-2.448053,-2.272452,-1.924826,-0.644067,0.475292,0.43675,-1.048941
1.694322,1.232576,3.078278,1.229162,0.438561,-0.115531,-0.125354,-0.361319,1.047699,0.594393,0.782755,0.928139,-2.527931,-1.440869,-1.458138,-2.738846
0.104835,-0.150649,-2.088122,-0.267067,0.680576,2.074933,2.51224,0.491022,-0.086405,-1.020412,0.675555,-0.518424,-0.460458,-0.018777,-0.279749,-0.962871
-2.59109,-2.061466,-0.947604,-1.801627,7.257315,4.909929,5.298006,4.516454,-3.416862,-4.008231,-4.49146,-2.843722,1.575484,1.824202,1.212883,0.640328
2.747325,2.564071,1.262011,2.419652,-0.000589,0.414692,0.173586,0.125422,-1.933716,-1.85373,-2.312901,-0.301446,-0.467185,0.356938,0.056265,-0.559631
-1.938561,-1.864397,-1.491737,-1.790782,2.542626,3.309639,3.079975,2.618059,-1.827759,-1.988905,-1.805932,-0.791695,-3.060024,-2.366387,-2.500396,-4.170875
1.004726,1.031372,2.463731,1.375157,0.725249,2.107544,1.632903,0.776083,-3.972969,-3.509719,-3.246078,-2.71079,-1.281058,0.048771,-0.062423,-1.151899
-0.074948,-0.113788,-0.273086,-0.126779,3.056703,3.995121,3.569027,2.947579,-3.754811,-3.297951,-2.867022,-2.465956,-2.249167,-1.538971,-1.641352,-3.360778
-0.640375,-0.565916,0.540322,-0.311071,3.188398,5.204459,5.175704,3.997135,-0.820924,-0.361498,0.23781,-0.548009,-0.955528,1.043266,1.308597,-0.708042
2.119831,1.703892,4.095545,1.911084,-3.15754,0.27582,-0.195128,-2.584231,-0.568706,-0.166025,0.494848,0.885261,-1.828677,-0.787073,-0.900894,-2.559292
-0.785752,-1.02911,-0.247035,-0.948222,2.178808,1.871332,1.279123,0.436663,-1.110528,-2.081955,-1.860721,-0.743289,-3.86849,-2.867229,-2.678106,-4.652089
-0.523637,-0.155887,1.323895,0.174622,-2.38162,-0.988835,-1.600222,-2.328483,1.002882,1.287191,3.453199,1.129101,-3.350326,-3.081818,-2.973203,-4.780537
2.633183,2.486535,1.836314,2.432589,-1.880964,-0.188187,-0.227697,-2.538985,2.814779,2.905175,2.867311,3.671009,-2.27378,-2.419429,-2.64454,-3.945751
-1.951844,-1.681482,-3.018086,-1.547847,2.069338,3.990364,3.315168,2.651594,-3.211132,-1.736875,-1.722887,-1.806177,0.547993,0.863926,0.732443,-0.726725
0.13846,0.231544,1.004403,0.358117,0.239621,0.380069,0.228392,-0.110745,0.401028,1.199402,0.649556,1.925647,-2.095595,-2.878844,-3.294604,-5.213575
