fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:55:01 AM
VariableInfo
Name:,oxygraph1.hbt.Block1
Size:,5286 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:54:27 AM
Notes:,Total-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.oxy
Labels:,DATA,HBT
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
-0.944427,-0.894086,-0.362442,-0.518573,0.284494,0.248115,0.144122,0.184302,1.033522,1.27936,1.014495,1.830019,0.152625,-0.383814,-0.424191,-1.257626
0.574493,0.635355,2.389356,1.061594,-0.325615,-0.151912,-0.390104,-0.241735,-0.049498,-0.42031,-0.760872,-0.40819,-0.946183,-0.530542,-0.416419,-1.66177
-1.827925,-1.456529,-1.759984,-1.036061,3.078372,0.785439,0.8912,0.899675,0.369937,1.016971,0.819114,1.217281,-1.848107,-1.873567,-2.046404,-2.611591
0.325198,0.699438,0.0483739999999999,1.080704,-0.207013,0.422318,-0.466132,0.07504,0.504334,1.170756,1.077229,1.090214,-0.180605,0.393102,0.526757,-0.948462
-0.0586310000000001,0.177752,-0.726443,0.574692,-0.752885,-0.604089,-1.433135,-0.450792,1.925013,2.34351,2.43299,2.651063,-1.491026,-0.579567,-0.248503,-2.262821
-1.738394,-1.251374,-1.501287,-0.730906,0.592242,0.681654,0.149233,0.853324,0.808093,1.139638,1.059278,1.513155,-0.894638,-0.517106,-1.315053,-2.570712
-0.227679,0.0233159999999999,0.056338,0.670341,-0.828031,-0.524499,-1.264512,-0.564196,0.758904,1.080016,1.313312,1.183635,-2.039508,-1.432486,-1.434849,-3.538574
-2.304973,-1.886408,-2.087133,-1.298435,2.229483,1.397601,0.843595,1.343409,-0.718509,-0.158829,-0.135206,-0.154274,0.289312,0.321547,0.0711109999999999,-1.317921
-1.981006,-1.492414,-0.980457,-0.72786,-0.57062,0.88234,-0.664277,0.417907,-0.682275,0.381169,0.473426,0.156165,-0.15764,1.034276,1.304097,-1.203181
0.861352,1.126058,-0.119979,1.605627,-1.279049,-0.529191,-1.913159,-0.480583,1.583222,1.772357,1.981893,1.96054,-0.983879,-0.480301,-0.562085,-2.77411
-2.141977,-1.603484,-1.802392,-1.016545,0.516328,0.48294,-0.194801,-0.322079,-0.660192,-0.360879,-0.322625,-0.0290090000000001,0.232799,0.934196,1.044452,-1.251637
-0.494759,-0.33233,0.645812,0.276692,1.171528,1.416943,0.371448,1.745512,-0.983912,-1.433365,-1.608959,-0.868288,1.279713,1.867572,2.137095,0.022747
-2.922313,-2.437879,-2.738878,-1.971431,2.249308,3.049075,3.054655,3.400077,-0.0707910000000003,0.57718,0.519822,0.636634,-1.233142,-0.396855,-0.266924,-2.022444
-2.099934,-1.54981,0.332794,-0.853059,-0.535425,0.923633,-0.03996,0.387369,0.386183,0.82295,0.837542,0.996791,1.401948,2.0508,2.502087,0.347045
-0.16595,-0.570709,0.042143,0.359929,-1.224806,-0.685451,-1.53112,-0.189626,1.713948,1.518753,1.210818,2.117266,-0.55525,-0.661429,-0.535909,-2.450556
-2.322889,-1.848805,-2.744051,-1.676617,3.280103,2.121359,2.019214,1.993139,0.99162,0.886182,0.521247,1.438908,-0.301771,-0.200186,0.0700339999999999,-1.597648
-1.24641,-0.663671,-0.163762,-0.318132,0.877907,1.408842,1.72265,0.906127,-0.210267,0.101124,-0.152101,0.244973,1.011516,2.049837,2.877744,1.322916
-0.692558,-0.470341,-0.659465,-0.370907,3.298662,2.509667,3.727017,2.465161,0.939576,0.098157,-0.0643130000000003,0.278736,0.571694,1.001869,0.838378000000001,0.468008
-2.096543,-1.790651,-1.032833,-1.643028,1.576887,1.419241,2.476189,1.04136,2.341293,1.37046,1.573015,0.685639,-0.76243,-0.091408,0.669146,-0.113466
0.689257,0.879045,2.172298,0.91339,1.5747,0.727307,1.869142,0.789404,0.457874,-0.539588,-0.481604,-0.678911,0.752231,1.357951,1.968315,0.898468
-0.564518,-0.252742,-0.862375,-0.393163,-0.846511,-1.331689,-0.663206,-0.900046,2.328845,1.205733,1.378554,1.415279,1.34025,1.099667,1.611705,1.50776
-0.962377,-0.408007,0.127504999999999,-0.27963,1.236837,0.899337,2.126746,0.706069,1.430292,0.106125,1.586564,0.062433,-1.314163,-0.654382,0.297216,-0.823402
0.142299,0.690022,-0.838197,0.42955,1.989736,0.849912,2.619926,0.523698,-0.197153,-1.017061,-0.88582,-1.009191,0.366657,1.173661,1.940659,0.664732
-2.022222,-1.259966,-1.635801,-1.241357,5.826878,3.042678,4.813988,3.154153,-2.699471,-3.221547,-3.401467,-3.332374,1.94103,2.867657,3.647068,2.59444
0.946982,1.376673,1.015392,1.413907,0.796995,0.315937,1.299527,0.392992,-0.592069,-0.831538,-0.812075,-0.725103,1.531334,2.493545,3.323707,1.838083
-0.180089,0.422493,-1.31585,0.226384,3.294219,2.668813,3.993194,2.968464,0.980432,0.306253,0.147165,0.754156999999999,-0.214055,-0.0901419999999997,0.272095,-1.152713
-2.246925,-1.597961,-1.842161,-1.581282,1.284514,1.548334,2.313926,1.139124,0.017989,-0.408531,-0.61963,-0.307043,1.123069,2.020514,3.015646,1.437054
1.105304,1.772509,0.010805,1.564376,1.115754,0.540485,1.022263,0.834182,0.321534,-0.019261,-0.354164,0.536596,0.818286,1.308208,2.019331,0.68529
-2.022222,-1.280502,-2.082968,-1.32086,3.557868,3.251469,4.364937,2.939267,0.796033,0.0470700000000002,-0.239837,0.45233,0.288307,-0.0549460000000001,0.560375,-0.18678
-1.725549,-0.951707,0.204364999999999,-0.680972,-0.0962780000000003,0.681816,1.474686,-0.138273,0.356214,0.0749770000000001,0.261819,0.174086,-1.610472,-0.797115,0.024184,-1.741578
-0.532828,0.197729,-1.344504,0.061224,2.231025,1.853591,3.49324,1.878868,-1.019521,-1.374032,-1.457042,-1.11294,2.428872,2.004121,2.97483,2.751452
-2.787534,-1.849551,-2.022626,-1.749308,1.780827,2.92851,3.168229,2.36116,0.516257,0.218008,0.805321,-0.314773,-1.395527,-0.208059,0.900679,-0.836472
0.392536,1.099787,1.846287,1.088756,1.346164,2.435353,2.475066,2.095233,1.583655,0.761783,1.023499,0.992675,-1.271385,-0.494617,0.495954,-1.626769
-0.323108,0.40942,-0.963844,0.294564,1.310492,2.242193,2.107804,1.991627,-0.045053,-0.407763,-0.282552,-0.303404,0.868273,1.562216,2.346485,0.719306
