fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:55:01 AM
VariableInfo
Name:,oxygraph1.oxy.Block1
Size:,5286 x 16
Type:,Numeric
Content:,Hemoglobin
Date:,2/26/2025 10:54:27 AM
Notes:,Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 14\SUB_14_01_02131452.oxy
Labels:,DATA,OXY
VariableData
Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin
Optode1,Optode2,Optode3,Optode4,Optode5,Optode6,Optode7,Optode8,Optode9,Optode10,Optode11,Optode12,Optode13,Optode14,Optode15,Optode16
-3.046023,-2.709586,-2.6336,-2.626091,-1.186652,-3.065515,-2.291032,-2.453766,3.716848,3.57333,3.409129,5.053071,-3.798763,0.674178,0.701609,-2.11393
-0.508213,-0.167939,4.846638,0.27704,5.374203,6.003734,6.831268,4.652325,-0.518536,-2.738976,-3.061278,-1.044378,3.091013,4.466586,4.063947,3.85145
1.922207,0.980955,-2.216586,0.687021,3.433386,-1.939713,-0.578426,-1.687103,7.583191,6.734047,7.173778,8.053887,-4.686799,-1.229941,0.364992,-3.987655
-3.558468,-3.384888,-2.386742,-3.019474,-2.314469,0.016734,-0.910004,-1.279876,-0.024234,-0.221786,0.416049,0.267272,5.933629,7.065518,6.765383,6.963714
5.946633,5.435094,3.957877,5.504566,-6.709413,-4.377537,-6.435621,-5.737064,0.868093,1.410706,2.077158,0.671141,4.90766,7.148113,7.940683,7.118327
-2.42054,-2.66981,-3.354959,-2.620416,-3.433128,-4.256188,-4.320929,-3.31267,6.802239,5.815196,6.120256,6.022389,-4.229988,-4.617492,-0.451199,-4.918946
-1.890767,-1.98446,-0.39159,-1.501863,-1.342903,0.985469,0.818488,-0.538646,4.230078,3.37354,4.080276,2.720039,4.007118,4.997986,5.687295,6.068514
5.429905,4.045516,1.756383,3.983677,1.903029,-0.700295,0.345745,-0.196895,8.911449,5.880585,6.111192,6.572986,-0.254748,1.271359,2.578397,-1.436889
-1.170996,-0.939214,-1.271061,-0.529132,-2.004586,2.141496,0.416481,0.983195,0.072083,-0.340813,0.036102,-0.206951,7.74286,8.326236,8.953761,8.490979
5.48631,5.432772,4.385899,5.706545,-6.195033,-2.605653,-4.947107,-3.846835,5.858824,4.387795,6.019969,3.27049,1.623147,2.931057,3.839655,3.284104
1.264207,0.423908,-2.11,0.255641,-6.906148,-3.966844,-4.941015,-5.863585,4.956464,3.512941,3.833817,2.832699,0.547273,0.809806,1.858736,0.702487
-4.154493,-4.71873,-0.521104,-4.04449,-2.067322,-2.317909,-3.855344,-0.741082,10.079748,9.653177,10.232401,8.363656,0.701943,1.397104,2.093303,0.676283
-3.002339,-3.260135,-3.005508,-3.178471,4.145348,1.057639,3.116049,4.967091,5.625727,4.467362,4.596126,4.805458,0.925604,-1.124135,-0.458278,-2.117466
-7.7205,-6.858766,-9.203898,-6.411545,2.724933,1.025319,-0.255324,4.440103,4.426353,4.599922,3.801162,4.816027,-0.796752,0.248872,1.248433,-0.767965
-0.04358,-1.636913,2.046949,-0.020985,-7.800302,-7.475695,-8.448638,-5.58607,10.67892,10.208973,10.649236,10.339902,-6.34852,-6.045345,-5.116775,-8.132828
-3.453299,-3.097565,-1.773517,-3.132451,1.382519,-5.981775,-4.963096,-3.068365,4.717666,5.284154,4.949307,5.45116,-3.602915,-4.233394,-3.531728,-5.562856
